"Country","Country_work","gender","nation","Location","what_participant_group","field_research","id","type.grant","number"
"Canada","","Female","Canada","British Columbia","","Social Science / Humanities","1","external_pi_grant_11_15_fundamental","0"
"Australia","","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Engineering","2","external_pi_grant_11_15_fundamental","4-6"
"Israel","","Male","Israel","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","3","external_pi_grant_11_15_fundamental","1-3"
"Canada","","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Engineering","4","external_pi_grant_11_15_fundamental","7-9"
"Canada","Barbados","Other","Canada","British Columbia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Natural Science","5","external_pi_grant_11_15_fundamental","1-3"
"Canada","Antarctica","Female","Canada","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","6","external_pi_grant_11_15_fundamental","4-6"
"Canada","Canada","Male","Canada","British Columbia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Engineering","7","external_pi_grant_11_15_fundamental","1-3"
"Netherlands","","","Netherlands","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","8","external_pi_grant_11_15_fundamental","0"
"Netherlands","Canada","Female","Canada","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","9","external_pi_grant_11_15_fundamental","0"
"Netherlands","Russia","Male","Russia","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","10","external_pi_grant_11_15_fundamental","4-6"
"Netherlands","Germany","Female","Germany","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","11","external_pi_grant_11_15_fundamental","4-6"
"Netherlands","United Kingdom","Male","United Kingdom","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","12","external_pi_grant_11_15_fundamental","16+"
"Netherlands","Netherlands","Female","Netherlands","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","13","external_pi_grant_11_15_fundamental","10-12"
"Netherlands","Canada","Female","Canada","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","14","external_pi_grant_11_15_fundamental","10-12"
"Netherlands","Brazil","Male","Brazil","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","15","external_pi_grant_11_15_fundamental","7-9"
"","Australia","Female","Australia","","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","16","external_pi_grant_11_15_fundamental","10-12"
"South Africa","South Africa","Male","South Africa","South Africa","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","17","external_pi_grant_11_15_fundamental","4-6"
"Denmark","Japan","Male","Japan","Denmark","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","18","external_pi_grant_11_15_fundamental","1-3"
"Morocco","","Female","Morocco","Morocco","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Interdisciplinary Science","19","external_pi_grant_11_15_fundamental","1-3"
"Netherlands","United States","Female","United States","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)","20","external_pi_grant_11_15_fundamental","0"
"Netherlands","United Kingdom","Female","United Kingdom","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","21","external_pi_grant_11_15_fundamental","0"
"Netherlands","Netherlands","Other","Netherlands","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","22","external_pi_grant_11_15_fundamental","16+"
"Netherlands","Mauritius","Female","Netherlands","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","23","external_pi_grant_11_15_fundamental","1-3"
"Netherlands","Uruguay","Male","Uruguay","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Other","24","external_pi_grant_11_15_fundamental","4-6"
"Netherlands","Turkey","Male","Turkey","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","25","external_pi_grant_11_15_fundamental","7-9"
"Netherlands","Australia","Male","Australia","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Interdisciplinary Science","26","external_pi_grant_11_15_fundamental","1-3"
"United Kingdom","Taiwan","Male","Taiwan","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","27","external_pi_grant_11_15_fundamental","1-3"
"United States","United States","Male","United States","California","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","28","external_pi_grant_11_15_fundamental","16+"
"Netherlands","Indonesia","Female","Netherlands","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","29","external_pi_grant_11_15_fundamental","10-12"
"","Morocco","Female","Morocco","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","30","external_pi_grant_11_15_fundamental","0"
"Netherlands","Netherlands","Male","Netherlands","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","31","external_pi_grant_11_15_fundamental","1-3"
"France","South Africa","Male","South Africa","France","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","32","external_pi_grant_11_15_fundamental","4-6"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","33","external_pi_grant_11_15_fundamental","7-9"
"","India","Female","India","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","34","external_pi_grant_11_15_fundamental","4-6"
"France","France","Female","France","France","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","35","external_pi_grant_11_15_fundamental","7-9"
"","Bangladesh","Female","Bangladesh","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","36","external_pi_grant_11_15_fundamental","1-3"
"Switzerland","Switzerland","Male","Switzerland","Switzerland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","37","external_pi_grant_11_15_fundamental","1-3"
"Poland","Poland","Female","Poland","Poland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","38","external_pi_grant_11_15_fundamental","0"
"Turkey","Turkey","Female","Turkey","Turkey","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","39","external_pi_grant_11_15_fundamental","0"
"Spain","South Africa","Male","South Africa","Spain","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","40","external_pi_grant_11_15_fundamental","0"
"","Ghana","Male","Ghana","","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","41","external_pi_grant_11_15_fundamental","4-6"
