"","Location","Country","gender","type_past","percent_past"
"1","British Columbia","Canada","Other","percent_Applied_Research_past",70
"2","British Columbia","Canada","Female","percent_Applied_Research_past",0
"3","Netherlands","Netherlands","Male","percent_Applied_Research_past",0
"4","Netherlands","Netherlands","Female","percent_Applied_Research_past",0
"5","Netherlands","Netherlands","Male","percent_Applied_Research_past",0
"6","Netherlands","Netherlands","Male","percent_Applied_Research_past",0
"7","","","Female","percent_Applied_Research_past",0
"8","South Africa","South Africa","Male","percent_Applied_Research_past",10
"9","Denmark","Denmark","Male","percent_Applied_Research_past",10
"10","Netherlands","Netherlands","Female","percent_Applied_Research_past",0
"11","Netherlands","Netherlands","Other","percent_Applied_Research_past",0
"12","Netherlands","Netherlands","Male","percent_Applied_Research_past",10
"13","Netherlands","Netherlands","Male","percent_Applied_Research_past",20
"14","United Kingdom","United Kingdom","Male","percent_Applied_Research_past",40
"15","California","USA","Male","percent_Applied_Research_past",10
"16","Netherlands","Netherlands","Female","percent_Applied_Research_past",20
"17","New Zealand","New Zealand","Male","percent_Applied_Research_past",0
"18","France","France","Female","percent_Applied_Research_past",0
"19","","","Female","percent_Applied_Research_past",10
"20","South Africa","South Africa","Female","percent_Applied_Research_past",0
"21","Portugal","Portugal","Male","percent_Applied_Research_past",0
"22","Malaysia","Malaysia","Female","percent_Applied_Research_past",0
"23","Netherlands","Netherlands","Male","percent_Applied_Research_past",72.7272727272727
"24","Netherlands","Netherlands","Male","percent_Applied_Research_past",20
"25","Italy","Italy","Male","percent_Applied_Research_past",0
"26","Italy","Italy","Male","percent_Applied_Research_past",10
"27","Italy","Italy","Male","percent_Applied_Research_past",0
"28","Italy","Italy","Male","percent_Applied_Research_past",10
"29","Italy","Italy","Male","percent_Applied_Research_past",40
"30","Italy","Italy","Male","percent_Applied_Research_past",0
"31","Italy","Italy","Male","percent_Applied_Research_past",20
"32","Italy","Italy","Male","percent_Applied_Research_past",20
"33","Italy","Italy","Female","percent_Applied_Research_past",40
"34","Netherlands","Netherlands","Female","percent_Applied_Research_past",0
"35","France","France","Male","percent_Applied_Research_past",0
"36","Argentina","Argentina","Male","percent_Applied_Research_past",20
"37","Italy","Italy","Male","percent_Applied_Research_past",0
"38","Italy","Italy","Male","percent_Applied_Research_past",0
"39","Greece","Greece","Female","percent_Applied_Research_past",0
"40","Italy","Italy","Male","percent_Applied_Research_past",10
"41","Cyprus","Cyprus","Female","percent_Applied_Research_past",0
"42","Vietnam","Vietnam","Male","percent_Applied_Research_past",0
"43","Italy","Italy","Male","percent_Applied_Research_past",0
"44","Netherlands","Netherlands","Male","percent_Applied_Research_past",0
"45","Italy","Italy","Male","percent_Applied_Research_past",60
"46","Spain","Spain","Female","percent_Applied_Research_past",10
"47","Switzerland","Switzerland","Male","percent_Applied_Research_past",10
"48","Finland","Finland","Male","percent_Applied_Research_past",0
"49","Massachusetts","USA","Female","percent_Applied_Research_past",0
"50","India","India","Male","percent_Applied_Research_past",31.25
"51","Japan","Japan","Male","percent_Applied_Research_past",80
"52","Italy","Italy","Male","percent_Applied_Research_past",10
"53","France","France","Female","percent_Applied_Research_past",0
"54","Italy","Italy","Female","percent_Applied_Research_past",0
"55","California","USA","Male","percent_Applied_Research_past",0
"56","Egypt","Egypt","Male","percent_Applied_Research_past",0
"57","Italy","Italy","Female","percent_Applied_Research_past",20
"58","United Kingdom","United Kingdom","Female","percent_Applied_Research_past",20
"59","Netherlands","Netherlands","Female","percent_Applied_Research_past",20
"60","Malaysia","Malaysia","Male","percent_Applied_Research_past",50
"61","United Kingdom","United Kingdom","Male","percent_Applied_Research_past",0
"62","","","Female","percent_Applied_Research_past",0
"63","Ontario","Canada","Female","percent_Applied_Research_past",70
"64","Portugal","Portugal","Male","percent_Applied_Research_past",0
"65","United Kingdom","United Kingdom","Male","percent_Applied_Research_past",10
"66","Israel","Israel","Female","percent_Applied_Research_past",0
"67","Netherlands","Netherlands","Male","percent_Applied_Research_past",0
"68","Arizona","USA","Female","percent_Applied_Research_past",0
"69","Portugal","Portugal","Male","percent_Applied_Research_past",50
"70","California","USA","Female","percent_Applied_Research_past",30
"71","Netherlands","Netherlands","Male","percent_Applied_Research_past",0
"72","Montenegro","Montenegro","Male","percent_Applied_Research_past",10
"73","Australia","Australia","Male","percent_Applied_Research_past",0
"74","Australia","Australia","Female","percent_Applied_Research_past",10
"75","China","China","Male","percent_Applied_Research_past",70
"76","Australia","Australia","Male","percent_Applied_Research_past",0
"77","","","Female","percent_Applied_Research_past",0
"78","United Kingdom","United Kingdom","Male","percent_Applied_Research_past",0
"79","Italy","Italy","Female","percent_Applied_Research_past",40
"80","United Kingdom","United Kingdom","Male","percent_Applied_Research_past",10
"81","United Kingdom","United Kingdom","Male","percent_Applied_Research_past",0
"82","Ontario","Canada","Male","percent_Applied_Research_past",0
"83","Poland","Poland","Female","percent_Applied_Research_past",0
"84","Oregon","USA","Female","percent_Applied_Research_past",100
"85","Australia","Australia","Male","percent_Applied_Research_past",10
"86","Israel","Israel","Male","percent_Applied_Research_past",10
"87","Netherlands","Netherlands","Female","percent_Applied_Research_past",0
"88","Australia","Australia","Female","percent_Applied_Research_past",0
"89","Poland","Poland","Male","percent_Applied_Research_past",0
"90","Poland","Poland","Male","percent_Applied_Research_past",0
"91","Poland","Poland","Female","percent_Applied_Research_past",30
"92","Poland","Poland","Male","percent_Applied_Research_past",0
"93","Serbia","Serbia","Female","percent_Applied_Research_past",10
"94","Japan","Japan","Male","percent_Applied_Research_past",10
"95","Israel","Israel","Male","percent_Applied_Research_past",28.5714285714286
"96","Israel","Israel","Male","percent_Applied_Research_past",10
"97","","","Male","percent_Applied_Research_past",0
"98","Israel","Israel","Male","percent_Applied_Research_past",20
"99","United Kingdom","United Kingdom","Male","percent_Applied_Research_past",0
"100","","","Male","percent_Applied_Research_past",20
"101","Maryland","USA","Male","percent_Applied_Research_past",10
"102","Israel","Israel","Male","percent_Applied_Research_past",0
"103","Israel","Israel","Male","percent_Applied_Research_past",20
"104","Israel","Israel","Male","percent_Applied_Research_past",0
"105","Switzerland","Switzerland","Female","percent_Applied_Research_past",0
"106","Serbia","Serbia","Female","percent_Applied_Research_past",11.1111111111111
"107","Israel","Israel","Male","percent_Applied_Research_past",80
"108","","","Male","percent_Applied_Research_past",20
"109","Israel","Israel","Female","percent_Applied_Research_past",0
"110","France","France","Female","percent_Applied_Research_past",20
"111","Israel","Israel","Male","percent_Applied_Research_past",0
"112","British Columbia","Canada","Male","percent_Applied_Research_past",20
"113","Israel","Israel","Male","percent_Applied_Research_past",0
"114","","","Female","percent_Applied_Research_past",0
"115","France","France","Male","percent_Applied_Research_past",40
"116","Israel","Israel","Male","percent_Applied_Research_past",50
"117","Israel","Israel","Male","percent_Applied_Research_past",100
"118","Israel","Israel","Male","percent_Applied_Research_past",50
"119","Greece","Greece","Female","percent_Applied_Research_past",10
"120","Israel","Israel","Male","percent_Applied_Research_past",0
"121","Quebec","Canada","Female","percent_Applied_Research_past",10
"122","Israel","Israel","Male","percent_Applied_Research_past",31.25
"123","New Hampshire","USA","Female","percent_Applied_Research_past",0
"124","Israel","Israel","Male","percent_Applied_Research_past",20
"125","Maryland","USA","Male","percent_Applied_Research_past",0
