Status,Location,what_participant_group,percent_fundemental_research_current,percent_Use_inspired_Research_current,percent_Applied_Research_current,changed_10yrs,percent_Fundamental_Research_past,percent_Use_inspired_Research_past,percent_Applied_Research_past,Main_reason_change_interest_related,Main_reason_change_Career_related,Main_reason_change_Funding_related,Main_reason_change_Socially_related,Main_reason_change_Other,Main_reason_change_Other_text,view_change_of_type,level_partnership_outside_academia,Level_partnership_outside_academia_change_10yrs,level_partnership_outside_academia_before_shift,Main_reason_level_partnership_change_Interest_related,Main_reason_level_partnership_change_Career_related,Main_reason_level_partnership_change_Socially_related,Main_reason_level_partnership_change_Funding_related,Main_reason_level_partnership_change_Other,Main_reason_level_partnership_change_Other_text,view_change_level_partnership_outside_academia,estimate_external_pi_grant_apps_2011_2015_Fundamental_Research,estimate_external_pi_grant_apps_2011_2015_Use-inspired_Research,estimate_external_pi_grant_apps_2011_2015_Applied_Research,estimate_external_pi_grant_apps_2006_2010_Fundamental_Research,estimate_external_pi_grant_apps_2006_2010_Use-inspired_Research,estimate_external_pi_grant_apps_2006_2010_Applied_Research,estimate_successful_grants_2011_2015_Fundamental_Research,estimate_successful_grants_2011_2015_Use-inspired_Research,estimate_successful_grants_2011_2015_Applied_Research,estimate_successful_grants_2006_2010_Fundamental_Research,estimate_successful_grants_2006_2010_Use-inspired_Research,estimate_successful_grants_2006_2010_Applied_Research,suggesting_practical_applications_important_to_grant_success_2011_2015,Main_reason_level_partnership_change_Other_text,based_your_grant_important_include_nonacademia_partners_success_2011_2015,based_your_grant_important_include_nonacademia_partners_success_2006_2010,estimate_distribution_funding_sources_2011_2015_Internal_Institutional,based_your_grant_important_include_nonacademia_partners_success_2011_2015_Government,based_your_grant_important_include_nonacademia_partners_success_2011_2015_For_profit_sector,based_your_grant_important_include_nonacademia_partners_success_2011_2015_Nongovernmental_sector,based_your_grant_important_include_nonacademia_partners_success_2011_2015_Other,based_your_grant_important_include_nonacademia_partners_success_2011_2015_other_text,based_your_grant_important_include_nonacademia_partners_success_2006_2010_Internal_Institutional,based_your_grant_important_include_nonacademia_partners_success_2006_2010_Government,based_your_grant_important_include_nonacademia_partners_success_2006_2010_Forprofit_sector,based_your_grant_important_include_nonacademia_partners_success_2006_2010_Nongovernmental_sector,based_your_grant_important_include_nonacademia_partners_success_2006_2010_Other,based_your_grant_important_include_nonacademia_partners_success_2006_2010_other_text,general_grant_success_change_10yrs_Fundamental_Research,general_grant_success_change_10yrs_Use_inspired_Research,general_grant_success_change_10yrs_Applied_Research,opinion_fundamental_important,high_priority_fundamental,high_priority_use_inspired,high_priority_applied,high_priority_no_change,high_priority_comments,available_funding_fundamental,available_funding_use_inspired,available_funding_applied,next_generation,next_generation_Comments,field_research,PhD_Year,Country_work,gender
Incomplete,,Non-academic researcher conducting or managing research in industry or government with >10 years of experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,British Columbia,Non-academic researcher conducting or managing research in industry or government with >10 years of experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,British Columbia,Non-academic researcher conducting or managing research in industry or government with <10 years of experience,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,British Columbia,Non-academic researcher conducting or managing research in industry or government with <10 years of experience,0%,0%,,,,,20%,,,,1,,,,Strong partnership,Yes,Strong partnership,1,,,,,,,3-Jan,9-Jul,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,British Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Will stay the same,Will stay the same,Will increase slightly,,,Social Science / Humanities,,,Female
Incomplete,British Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for applications for this research type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,Australia,Senior academic researcher with >10 years of experience applying for research grants,,,0%,Yes,,0%,0%,,,1,,,,,Some partnership,Yes,No partnership,,1,,1,,,,6-Apr,6-Apr,,3-Jan,0,,,,,,,,Very important,Quite important,Somewhat important,Somewhat important,,,,,,,,,,,,,Increased,Decreased,Can't comment,,,,,,,Will decrease slightly,Will increase slightly,Will stay the same,,,Engineering,,,Female
Complete,Israel,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,,0%,0%,Can't comment (new researcher),,,,,,,,,,,No partnership,Can't comment (new researcher),,,,,,,,,3-Jan,3-Jan,,3-Jan,3-Jan,,,No need for applications for this research type,,,,,Very important,Mandatory,Somewhat important,Quite important,,,,,,,,,,,,,Increased,Stayed the same,Decreased,,,,,,,Will decrease slightly,Will stay the same,Will increase slightly,,,Medicine and Life Science,,,Male
Complete,Ontario,Senior academic researcher with >10 years of experience applying for research grants,,,0%,No,,,,,,,,,,,Strong partnership,Yes,Some partnership,1,,1,1,,,,9-Jul,9-Jul,,6-Apr,6-Apr,,,,,,,,Quite important,Very important,Not very important,Quite important,,,,,,,,,,,,,Increased,Stayed the same,Decreased,,,,,,,Will increase considerably,Will increase slightly,Will stay the same,,,Engineering,,,Male
Incomplete,British Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
