"Status","Location","what_participant_group","percent_fundemental_research_current","percent_Use_inspired_Research_current","percent_Applied_Research_current","changed_10yrs","percent_Fundamental_Research_past","percent_Use_inspired_Research_past","percent_Applied_Research_past","Main_reason_change_interest_related","Main_reason_change_Career_related","Main_reason_change_Funding_related","Main_reason_change_Socially_related","Main_reason_change_Other","Main_reason_change_Other_text","view_change_of_type","partnership_outside","partnership_change_10yrs","partnership_outside_before","reason_partnership_change_interest","reason_partnership_change_career","reason_partnership_change_socially","reason_partnership_change_funding","reason_partnership_change_other","reason_partnership_change_other_text","view_change_partnership","external_pi_grant_11_15_fundamental","external_pi_grant_11_15_use","external_pi_grant_11_15_applied","external_pi_grant_6_10_fundamental","external_pi_grant_6_10_use","external_pi_grant_6_10_applied","successful_grants_11_15_fundamental","successful_grants_11_15_use","successful_grants_11_15_applied","successful_grants_6_10_fundamental","successful_grants_6_10_use","successful_grants_6_10_applied","practical_applications_important_11_15","practical_applications_important_6_10","include_nonacademia_partners_success_11_15","include_nonacademia_partners_success_6_10","distribution_funding_11_15_internal","distriution_funding_11_15_government","distriution_funding_11_15_for_profit","distriution_funding_11_15_nongov","distriution_funding_11_15_other","distriution_funding_11_15_other_text","distriution_funding_6_10_internal","distriution_funding_6_10_government","distriution_funding_6_10_for_profit","distriution_funding_6_10_nongov","distriution_funding_6_10_other","distriution_funding_6_10_other_text","success_change_10yrs_fundamental","success_change_10yrs_use","success_change_10yrs_applied","opinion_fundamental_important","high_priority_fundamental","high_priority_use_inspired","high_priority_applied","high_priority_no_change","high_priority_comments","available_funding_fundamental","available_funding_use_inspired","available_funding_applied","next_generation","next_generation_Comments","field_research","PhD_Year","Country_work","gender","NA","Country"
"Complete","British Columbia","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","Will stay the same","Will stay the same","Will increase slightly","","","Social Science / Humanities","","","Female","","Canada"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","","","0%","No","","","",NA,NA,NA,NA,NA,"","","Strong partnership","Yes","Some partnership",1,NA,1,1,NA,"","","9-Jul","9-Jul","","6-Apr","6-Apr","","","","","","","","Quite important","Very important","Not very important","Quite important","","","","","","","","","","","","","Increased","Stayed the same","Decreased","",NA,NA,NA,NA,"","Will increase considerably","Will increase slightly","Will stay the same","","","Engineering","","","Male","Very useful survey!","Canada"
"Complete","British Columbia","Non-academic researcher conducting or managing research in industry or government with > 10 years of experience","10%","70%","20%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","No partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","3-Jan","3-Jan","3-Jan","0","0","0","90%","80%","80%","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Somewhat important","Not at all important","Not at all important","Not at all important","","","","","","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased","Increased","Stayed the same","",NA,1,1,NA,"","Will stay the same","Will increase slightly","Will stay the same","","","Engineering","2016","Canada","Male","","Canada"
"Complete","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","0%","50%","50%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","0","3-Jan","0","0","0","0","No need for applications for this research type","100%","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Very important","Can't comment","Somewhat important","Can't comment","50%","50%","0%","0%","0%","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Can't comment","Can't comment","Increased","",NA,1,1,NA,"","Can't comment","Can't comment","Can't comment","","","Engineering","2013","Canada","Female","","Netherlands"
"Complete","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","20%","80%","0%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","Yes","No partnership",NA,NA,NA,1,NA,"","Slightly negative","12-Oct","16+","0","3-Jan","6-Apr","0","40%","60%","No need for applications for this research type","80%","90%","No need for applications for this research type","Very important","Somewhat important","Quite important","Not at all important","20%","30%","0%","50%","0%","","New researcher (no funding in these years)","30%","New researcher (no funding in these years)","70%","New researcher (no funding in these years)","","Decreased","Increased considerably","Increased considerably","",NA,NA,1,NA,"","Will increase slightly","Will increase slightly","Will increase slightly","","","Natural Science","2007","Canada","Female","As scientists, we need to do a better job of communicating the importance of fundamental research to the public and decision-makers. ","Netherlands"
"Complete","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","90%","10%","","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","0","0","0","0","0","0%","0%","0%","0%","0%","0%","Can't comment","Can't comment","Somewhat important","Can't comment","100%","0%","0%","0%","0%","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Can't comment","Can't comment","Can't comment","",NA,NA,1,NA,"Research funding has been cut across the board, but both governmental funding organisations and universities have very clearly been prioritizing applied research. Most funds were pretty much always directed towards applied and use-inspired research, but now even universities, when forced to cut in their budgets, favour profitable research projects and teaching units. ","Will stay the same","Can't comment","Can't comment","Will stay the same","","Social Science / Humanities","2012","Canada","Female","Finishing my PhD, I always knew that funding would be hard to get - in my field, the only funding possibilities are the different governmental organisations. What I wasn't expecting, however, was that in addition to fighting for governmental funding, I would also have to fight for my rights within my own university. I'm guessing that institutions must vary in their way of treating social sciences and humanities, but here, we're considered non-profitable, therefore non-useful. It is very disheartening, and we get very little encouragement. ","Canada"
"Complete","Alberta","Senior academic researcher with > 10 years of experience applying for research grants","100%","","","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","0","0","0","0","0","0%","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Can't comment","Can't comment","Can't comment","Can't comment","60%","20%","0%","0%","20%","Personal funds ","100%","","","","","","Decreased considerably","Increased","Increased considerably","",NA,1,1,NA,"","Can't comment","Can't comment","Can't comment","Will decrease considerably","","Social Science / Humanities","1976","Canada","Female","","Canada"
"Complete","Spain","Senior academic researcher with > 10 years of experience applying for research grants","0%","100%","0%","No","","","",NA,NA,NA,NA,NA,"","","Strong partnership","No","",NA,NA,NA,NA,NA,"","","0","16+","0","0","16+","0","No need for applications for this research type","40%","No need for applications for this research type","No need for applications for this research type","40%","No need for applications for this research type","Very important","Quite important","Quite important","Somewhat important","0%","80%","0%","20%","0%","","10%","60%","0%","30%","New researcher (no funding in these years)","","Decreased","Decreased","Increased","",NA,NA,1,NA,"","Will stay the same","Will stay the same","Will stay the same","Will stay the same","I do think that past decreases in the funding for fundamental research and use-inspired research have eroded the interest in the next generation, but due to political changes, I don't think that the decreases will continue.","Interdisciplinary Science","2003","Canada","Male","","Spain"
"Complete","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","30%","30%","30%","Yes","50%","30%","20%",1,NA,1,NA,NA,"","Very positive","Strong partnership","Yes","No partnership",1,1,1,1,NA,"","Very positive","6-Apr","3-Jan","3-Jan","3-Jan","3-Jan","3-Jan","100%","100%","100%","50%","50%","30%","Somewhat important","Somewhat important","Mandatory","Somewhat important","20%","50%","0%","30%","","","50%","50%","0%","0%","New researcher (no funding in these years)","","Decreased considerably","Decreased","Decreased","",NA,NA,1,NA,"","Will stay the same","Will increase slightly","Will increase considerably","Will decrease slightly","","Social Science / Humanities","","Canada","Female","","United Kingdom"
"Complete","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","10%","70%","20%","Yes","0%","30%","70%",1,NA,1,NA,NA,"","Slightly positive","Some partnership","Yes","No partnership",1,1,NA,1,NA,"","Slightly positive","3-Jan","3-Jan","6-Apr","0","3-Jan","9-Jul","50%","50%","90%","No need for applications for this research type","70%","90%","Very important","Mandatory","Quite important","Not very important","60%","30%","10%","10%","","","90%","","10%","","","","Stayed the same","Increased","Increased","Very important",NA,NA,1,NA,"","Will increase slightly","Will stay the same","Will stay the same","Will increase slightly","","Social Science / Humanities","2007","Canada","Female","","Canada"
"Complete","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","30%","30%","40%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","Strong partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","3-Jan","3-Jan","6-Apr","0","0","0","100%","80%","80%","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Very important","Can't comment","Quite important","","30%","40%","30%","0%","0%","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Can't comment","Can't comment","Can't comment","Somewhat important",NA,NA,1,NA,"","Will increase slightly","Will increase slightly","Will increase slightly","Will stay the same","","Natural Science","2012","Canada","Male","","Canada"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","80%","0%","20%","Yes","100%","0%","",1,NA,1,NA,NA,"","Slightly positive","Some partnership","Yes","No partnership",1,NA,NA,1,NA,"","Slightly positive","6-Apr","0","3-Jan","9-Jul","0","0","30%","No need for applications for this research type","100%","20%","No need for applications for this research type","No need for applications for this research type","Very important","Somewhat important","Somewhat important","Not at all important","10%","50%","20%","20%","0%","","20%","70%","10%","","","","Decreased considerably","Can't comment","Increased","Somewhat important",NA,NA,1,NA,"","Will increase slightly","Will decrease considerably","Will stay the same","Will increase slightly","","Interdisciplinary Science","2001","Canada","Male","","Canada"
"Complete","British Columbia","Senior academic researcher with > 10 years of experience applying for research grants","20%","50%","30%","Yes","40%","40%","20%",1,1,1,NA,NA,"","Very negative","Strong partnership","Yes","Some partnership",NA,NA,NA,1,NA,"","Slightly negative","3-Jan","3-Jan","6-Apr","3-Jan","3-Jan","3-Jan","0%","0%","100%","80%","70%","100%","Mandatory","Quite important","Mandatory","Somewhat important","0%","50%","70%","0%","0%","","0%","80%","30%","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Decreased","Stayed the same","Very important",NA,NA,1,NA,"","Will increase slightly","Will decrease slightly","Will stay the same","Will decrease considerably","","Interdisciplinary Science","1991","Canada","Male","Use-inspired research is still a challenge for our granting panels, these projects often pose research questions that are interdisciplinary in nature and hard to adjudicate with disciplinary panelists. I have seen the same issues in my role as a panelist for US and German programs. ","Canada"
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","30%","60%","10%","Yes","60%","30%","10%",NA,NA,1,NA,NA,"","Slightly positive","Some partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","","","3-Jan","","3-Jan","30%","","","50%","","100%","Very important","Somewhat important","Somewhat important","Not very important","30%","70%","0%","","","","10%","50%","40%","","","","Decreased considerably","Increased","Increased considerably","Very important",NA,1,1,NA,"","Will decrease considerably","Will decrease slightly","Will decrease slightly","Will increase slightly","","Natural Science","1992","Canada","Female","","Canada"
"Complete","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","20%","40%","40%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","3-Jan","3-Jan","0","0","0","100%","70%","70%","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Mandatory","Can't comment","Quite important","Can't comment","10%","80%","10%","0%","0%","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased","Stayed the same","Increased considerably","Somewhat important",NA,NA,1,NA,"","Will stay the same","Will increase slightly","Will stay the same","Will increase slightly","","Physical Science (eg. math, physics, chemistry, computer science)","2010","Canada","Female","","Canada"
"Complete","Ontario","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","70%","60%","30%","Yes","100%","100%","0%",NA,NA,1,NA,NA,"","Slightly positive","Strong partnership","Yes","Some partnership",NA,NA,NA,1,NA,"","Slightly positive","0","0","3-Jan","3-Jan","0","0","No need for applications for this research type","No need for applications for this research type","50%","100%","No need for applications for this research type","No need for applications for this research type","Mandatory","Somewhat important","Mandatory","Quite important","","50%","50%","","","","100%","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Decreased","Increased considerably","Somewhat important",NA,NA,1,NA,"","Will decrease considerably","Will decrease slightly","Will increase considerably","Will decrease slightly","","Natural Science","2014","Canada","Male","","Canada"
"Complete","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","100%","0%","0%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","No partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","3-Jan","0","0","0","0","0","70%","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Not at all important","Not at all important","Not at all important","Not at all important","50%","50%","0%","0%","0%","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Can't comment","Can't comment","Can't comment","Somewhat important",NA,NA,NA,1,"","Will increase slightly","Can't comment","Can't comment","Will stay the same","","Physical Science (eg. math, physics, chemistry, computer science)","2010","Canada","Male","","Canada"
"Complete","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","100%","","","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","","","3-Jan","","","80%","No need for applications for this research type","No need for applications for this research type","40%","No need for applications for this research type","No need for applications for this research type","Quite important","Quite important","Somewhat important","Somewhat important","50%","50%","0%","0%","0%","","50%","50%","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased","Increased","Increased","Somewhat important",NA,NA,1,NA,"","Will increase slightly","Will decrease slightly","Will decrease slightly","Will increase considerably","","Natural Science","2010","Canada","Male","","Canada"
"Complete","Quebec","Senior academic researcher with > 10 years of experience applying for research grants","30%","70%","0%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","Yes","No partnership",NA,NA,NA,1,NA,"","Slightly negative","","3-Jan","","","3-Jan","","No need for applications for this research type","30%","","No need for applications for this research type","100%","","Mandatory","Mandatory","Not very important","Not very important","10%","90%","","","","","10%","90%","","","","","Decreased considerably","Increased","Increased considerably","Not very important",NA,1,1,NA,"","Will decrease considerably","Will increase considerably","Will increase considerably","Will stay the same","","Physical Science (eg. math, physics, chemistry, computer science)","1993","Canada","Male","","Canada"
"Complete","","Senior academic researcher with > 10 years of experience applying for research grants","90%","","","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","9-Jul","","","6-Apr","","","0%","","","0%","","","Can't comment","Can't comment","Can't comment","Can't comment","50%","0%","0%","0%","50%","European Agencies","50%","","","","50%","European Agencies","Decreased considerably","Can't comment","Can't comment","Not very important",NA,NA,1,NA,"","Will increase slightly","","Will increase slightly","Will increase slightly","","Natural Science","1976","Canada","Male","",""
"Complete","Quebec","Senior academic researcher with > 10 years of experience applying for research grants","70%","30%","0%","Yes","100%","0%","0%",1,1,1,NA,NA,"","Slightly positive","Some partnership","Yes","No partnership",1,1,NA,1,NA,"","Slightly positive","3-Jan","3-Jan","","3-Jan","","","100%","100%","","100%","100%","","Mandatory","Mandatory","Mandatory","Mandatory","","60%","40%","","","","","100%","New researcher (no funding in these years)","","","","Decreased","Increased","Increased","Somewhat important",NA,NA,1,NA,"","Will increase slightly","Will increase slightly","Will stay the same","Will increase slightly","","Engineering","1995","Canada","Male","","Canada"
"Complete","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","100%","","","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","0","0","0","0","0","60%","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Can't comment","Can't comment","Can't comment","Can't comment","","100%","","","","","","","","","","","Decreased","Can't comment","Can't comment","Not very important",NA,NA,1,NA,"","Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease considerably","","Physical Science (eg. math, physics, chemistry, computer science)","2013","Canada","Male","",""
"Complete","Ontario","Senior academic researcher with > 10 years of experience applying for research grants","80%","20%","0%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","0","0","3-Jan","3-Jan","0","30%","100%","No need for applications for this research type","30%","100%","No need for applications for this research type","Mandatory","Mandatory","Not at all important","Not at all important","0%","100%","0%","0%","0%","","New researcher (no funding in these years)","80%","New researcher (no funding in these years)","20%","New researcher (no funding in these years)","","Decreased considerably","Increased considerably","Increased considerably","Very important",NA,NA,1,NA,"","Will decrease slightly","Will increase considerably","Will increase considerably","Will decrease slightly","The challenge I see is that our current government will claim to be increasing funding in basic research, but these new funds will invariably be in more use-inspired or applied areas.  ","Natural Science","1999","Canada","Male","I sit on the NSERC discovery grant evaluation group, so I get to see people's discovery research proposals and see how colleagues evaluate them.  I am very much an advocate for basic, fundamental research, and try my best to evaluate the proposals on their merit of discovery, without a particular use inspiration in mind.  However, the NSERC grant application guidelines still ask for a statement of impact and invariably people write about the economic or industrial impacts.  I think NSERC should be required to reword this portion of the DG program to make it absolutely clear that the impact is itself not an economic or industrial impact, but a discovery impact, or remove the requirement for this next to useless section of the proposal.  Why?  Because even in the Discovery grant system, proposals that are ""innovative"" with strong economic potential do get more highly evaluated, and then scientists are betting on winners and losers instead of only evaluating the quality of the science.    ","Canada"
"Complete","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","60%","0%","40%","Yes","90%","","0%",NA,NA,1,1,NA,"","Slightly negative","Some partnership","Yes","No partnership",NA,NA,1,1,NA,"","Slightly positive","6-Apr","3-Jan","6-Apr","3-Jan","0","3-Jan","40%","0%","80%","90%","No need for applications for this research type","90%","Mandatory","Somewhat important","Quite important","Not very important","30%","40%","30%","0%","0%","","60%","40%","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Can't comment","Increased considerably","Very important",NA,1,1,NA,"","Will increase slightly","Can't comment","Will stay the same","Will decrease considerably","","Engineering","2009","Canada","Male","","Canada"
"Complete","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","20%","70%","10%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","No partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","3-Jan","3-Jan","","0","0","0","0%","40%","0%","0%","0%","0%","Very important","Can't comment","Somewhat important","Can't comment","20%","70%","0%","10%","0%","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Decreased","Increased","Not very important",NA,NA,1,NA,"","Will decrease considerably","Will decrease slightly","Will increase considerably","Will decrease considerably","","Interdisciplinary Science","2010","Canada","Male","","Canada"
"Complete","Quebec","Senior academic researcher with > 10 years of experience applying for research grants","90%","","10%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","Some partnership",NA,NA,NA,NA,1,"Project ended, no new opportunity since then.","Neutral","0","0","0","9-Jul","0","0","0%","No need for applications for this research type","No need for applications for this research type","20%","No need for applications for this research type","No need for applications for this research type","Can't comment","Somewhat important","Can't comment","Not at all important","10%","80%","0%","0%","10%","Personal resourcs","60%","30%","0%","0%","10%","Personal resources","Decreased","Increased","Increased","Not very important",NA,1,1,NA,"There was a change of government in 2015. My responses refer to trends under the previous government, which had been in place for most of the 10 year period. There is a sense that the new government has different priorities, but it will take time to see whether there is an effective change in funding patterns. ","Will increase slightly","Will stay the same","Will stay the same","Can't comment","There are other considerations that affect the possibilities for new scholars to pursue careers in research, such as the possibilities for acquiring individual (rather than team) grants. ","Social Science / Humanities","1999","Canada","Female","The priority given to team grants also influences the types and variety of research.","Canada"
"Complete","Alberta","Senior academic researcher with > 10 years of experience applying for research grants","70%","20%","10%","Yes","60%","20%","20%",1,1,1,1,1,"moved focus to a different continent","Neutral","Some partnership","Yes","No partnership",NA,NA,1,1,NA,"","Very positive","3-Jan","3-Jan","0","3-Jan","0","3-Jan","100%","100%","0%","80%","50%","10%","Somewhat important","Somewhat important","Quite important","Not very important","10%","80%","0%","10%","0%","","10%","90%","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased","Increased","Increased","Very important",NA,NA,1,NA,"Overall funding levels for environmental research have declined, from all potential sources.  Bad news all around.","Will decrease considerably","Will stay the same","Will increase slightly","Will decrease considerably","Not a good time to begin a career in research.","Natural Science","1994","Canada","Male","","Canada"
"Complete","Alberta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","80%","","","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","6-Apr","","","3-Jan","","","0%","","","0%","","","","Mandatory","","Quite important","","50%","","50%","","","","50%","","50%","","","Decreased","","","Not very important",NA,NA,1,NA,"","Will stay the same","","","Will decrease considerably","","Medicine and Life Science","2014","Canada","Male","","Canada"
"Complete","Nova Scotia","Senior academic researcher with > 10 years of experience applying for research grants","10%","20%","70%","No","","","",NA,NA,NA,NA,NA,"","","Exclusive partnership","Yes","Strong partnership",NA,1,NA,1,NA,"","Slightly positive","0","0","3-Jan","0","3-Jan","3-Jan","No need for applications for this research type","No need for applications for this research type","80%","No need for applications for this research type","100%","50%","Mandatory","Mandatory","Quite important","Quite important","0%","0%","100%","0%","0%","","20%","New researcher (no funding in these years)","80%","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Increased","Increased","Somewhat important",NA,1,NA,NA,"","Will increase slightly","Will increase slightly","Will stay the same","Will decrease slightly","","Engineering","1988","Canada","Male","","Canada"
"Complete","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","30%","70%","","Yes","80%","20%","",NA,1,1,NA,1,"Interests of graduate students","Slightly positive","Strong partnership","Yes","Some partnership",NA,1,NA,1,NA,"","Slightly positive","3-Jan","9-Jul","0","3-Jan","3-Jan","0","50%","60%","No need for applications for this research type","0%","0%","No need for applications for this research type","Very important","Can't comment","Quite important","Can't comment","50%","20%","20%","10%","","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased","Increased considerably","Increased","Somewhat important",NA,1,1,NA,"","Will increase slightly","Will increase considerably","Will increase considerably","Will decrease slightly","","Natural Science","2009","Canada","Female","","Canada"
"Complete","Newfoundland and Labrador","Senior academic researcher with > 10 years of experience applying for research grants","80%","10%","10%","Yes","60%","30%","10%",NA,NA,NA,NA,1,"Theoretical research due to lack of funding for basic lab research","Very negative","No partnership","Yes","Some partnership",NA,NA,NA,1,NA,"","Slightly negative","3-Jan","3-Jan","3-Jan","3-Jan","0","0","0%","0%","No need for applications for this research type","0%","0%","No need for applications for this research type","Quite important","Can't comment","Somewhat important","Can't comment","50%","0%","0%","50%","0%","","","80%","","20%","","","Decreased considerably","Stayed the same","Increased","Not very important",NA,NA,1,NA,"","Will decrease considerably","Will increase slightly","Will increase considerably","Will decrease considerably","","Medicine and Life Science","1972","Canada","Male","","Canada"
"Complete","Alberta","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","10%","60%","30%","Yes","70%","20%","10%",1,1,NA,1,1,"the resesearch direction has to have a 'why', if only to get people thinking instead of just doing.","Very positive","Some partnership","Yes","No partnership",1,1,1,1,NA,"","Very positive","3-Jan","3-Jan","3-Jan","9-Jul","3-Jan","0","0%","80%","100%","60%","80%","No need for applications for this research type","Very important","Not at all important","Quite important","Somewhat important","70%","20%","10%","","","","90%","10%","","","","","Can't comment","Can't comment","Can't comment","Not very important",NA,1,1,NA,"","Can't comment","Can't comment","Can't comment","Can't comment","Universities are expanding like crazy across the country while the value of a university degree drops - is this correlation or causation?","Engineering","2006","Canada","Male","","Canada"
