Status,Internal ID,Language,Created At,Updated At,Location,Username,GET Variables,Number of Saves,Weighted Score,Completion Time,Invite Code,Invite Email,Invite Name,Collector,Select which of the five participant groups you belong to:,What percent of your current research falls under the following categories?Total should equal 100% | Fundamental Research (definition below),What percent of your current research falls under the following categories?Total should equal 100% | Use-inspired Research (definition below),What percent of your current research falls under the following categories?Total should equal 100% | Applied Research (definition below),Have these proportions changed over the past 10 years?,What percent of your pastÊresearch program falls into each of these categories?Total should equal 100% | Fundamental Research (definition below),What percent of your pastÊresearch program falls into each of these categories?Total should equal 100% | Use-inspired Research (definition below),What percent of your pastÊresearch program falls into each of these categories?Total should equal 100% | Applied Research (definition below),What is the main reason for the change in the category of research you conduct/supervise? Please select all of the following reasons that apply: [Interest-related],What is the main reason for the change in the category of research you conduct/supervise? Please select all of the following reasons that apply: [Career-related],What is the main reason for the change in the category of research you conduct/supervise? Please select all of the following reasons that apply: [Funding-related],What is the main reason for the change in the category of research you conduct/supervise? Please select all of the following reasons that apply: [Socially-related],"What is the main reason for the change in the category of research you conduct/supervise? Please select all of the following reasons that apply: [Other, please specify...]","What is the main reason for the change in the category of research you conduct/supervise? Please select all of the following reasons that apply: [Other, please specify...] [text]",How do you view this change in the type of the research that you conduct/supervise?,Please indicate the level of partnership that your research currently has outside of academia (e.g. with the for-profit sector or non-governmental sector):,Has the level of partnership that your research has outside of academia (e.g. with the for-profit sector or non-governmental sector) changed over the past ten years?,Please indicate the level of partnership that your research had with the for-profit or non-governmental sectors  before this shift:,What is the main reason for the change in the level of partnership that your research has with the for-profit or non-governmental sectors? Please select all of the following reasons that apply: [Interest-related],What is the main reason for the change in the level of partnership that your research has with the for-profit or non-governmental sectors? Please select all of the following reasons that apply: [Career-related],What is the main reason for the change in the level of partnership that your research has with the for-profit or non-governmental sectors? Please select all of the following reasons that apply: [Socially-related],What is the main reason for the change in the level of partnership that your research has with the for-profit or non-governmental sectors? Please select all of the following reasons that apply: [Funding-related],"What is the main reason for the change in the level of partnership that your research has with the for-profit or non-governmental sectors? Please select all of the following reasons that apply: [Other, please specify...]","What is the main reason for the change in the level of partnership that your research has with the for-profit or non-governmental sectors? Please select all of the following reasons that apply: [Other, please specify...] [text]",How do you view this change in the level of your research's partnerships with the for-profit or non-governmental sectors?,"Please estimate how many external research grant applications, both successful and unsuccessful, you have been involved in. This includes applications to national and international funding bodies, for-profit sector, non-governmental sector, institutes, etc. where you were listed as a principal/chief investigator or equivalent.2011-2015 | Fundamental Research (definition below)","Please estimate how many external research grant applications, both successful and unsuccessful, you have been involved in. This includes applications to national and international funding bodies, for-profit sector, non-governmental sector, institutes, etc. where you were listed as a principal/chief investigator or equivalent.2011-2015 | Use-inspired Research (definition below)","Please estimate how many external research grant applications, both successful and unsuccessful, you have been involved in. This includes applications to national and international funding bodies, for-profit sector, non-governmental sector, institutes, etc. where you were listed as a principal/chief investigator or equivalent.2011-2015 | Applied Research (definition below)",2006-2010 | Fundamental Research (definition below),2006-2010 | Use-inspired Research (definition below),2006-2010 | Applied Research (definition below),Please estimate the percentage of your research grant applications that were successful (received funding):2011-2015 | Fundamental Research (definition below),Please estimate the percentage of your research grant applications that were successful (received funding):2011-2015 | Use-inspired Research (definition below),Please estimate the percentage of your research grant applications that were successful (received funding):2011-2015 | Applied Research (definition below)     ,2006-2010 | Fundamental Research (definition below),2006-2010 | Use-inspired Research (definition below),2006-2010 | Applied Research (definition below),"Given the two time periods below, how important do you think suggesting practical applications of your research was to successfully obtain grant funding? | 2011-2015","Given the two time periods below, how important do you think suggesting practical applications of your research was to successfully obtain grant funding? | 2006-2010","Based on your grant applications, how important do you think it is for grant success to include  partners from for-profit or non-governmental sectors  in grant applications? | 2011-2015","Based on your grant applications, how important do you think it is for grant success to include  partners from for-profit or non-governmental sectors  in grant applications? | 2006-2010",Please estimate the distribution of your research funding sources:Total must add up to 100%2011-2015 | Internal/Institutional,Please estimate the distribution of your research funding sources:Total must add up to 100%2011-2015 | Government,Please estimate the distribution of your research funding sources:Total must add up to 100%2011-2015 | For-profit sector (e.g. Industry),"Please estimate the distribution of your research funding sources:Total must add up to 100%2011-2015 | Non-governmental sector (e.g. Foundation, NGO, Philanthropist)",Please estimate the distribution of your research funding sources:Total must add up to 100%2011-2015 | Other (please specify type of source below),Other funding source type:,2006-2010 | Internal/Institutional,2006-2010 | Government,2006-2010 | For-profit sector (eg. industry),"2006-2010 | Non-governmental sector (e.g. Foundation, NGO, Philanthropist)",2006-2010 | Other (please specify type of source below),Other funding source type:,"In general, do you think that grant success rates within each category of research have changed over the past ten years? | Fundamental Research (definition below)","In general, do you think that grant success rates within each category of research have changed over the past ten years? | Use-inspired Research (definition below)","In general, do you think that grant success rates within each category of research have changed over the past ten years? | Applied Research (definition below)","In your opinion, how important is fundamental research to the government in your country of work?","In the past 10 years, have any type(s) of research become a higher priority for the government in your country of work? Check all that apply. [Fundamental Research]","In the past 10 years, have any type(s) of research become a higher priority for the government in your country of work? Check all that apply. [Use-inspired Research]","In the past 10 years, have any type(s) of research become a higher priority for the government in your country of work? Check all that apply. [Applied Research]","In the past 10 years, have any type(s) of research become a higher priority for the government in your country of work? Check all that apply. [No Change Observed]",Comments:,Do you think the availability of research funding will change in your country of work in the next 5 years? | Fundamental Research (definition below),Do you think the availability of research funding will change in your country of work in the next 5 years? | Use-inspired Research (definition below),Do you think the availability of research funding will change in your country of work in the next 5 years? | Applied Research (definition below),Do you think changes in funding availability in your country of work will influence the likelihood of the next generation to pursue careers in research? | ,Comments:,What is your field of research?,In what year did you complete your PhD (if applicable)?,What is your country of work?,What is your gender?,Do you have any final comments?
Incomplete,66594039,English,5/10/16 18:54,5/10/16 18:54,,fungroupgya,TEST_DATA=,,3,,,,,,Non-academic researcher conducting or managing research in industry or government with >10 years of experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,66608331,English,5/10/16 22:04,5/10/16 22:04,British Columbia,fungroupgya,TEST_DATA=&_cb=Ja6uSX3XOM,,3,0:00:31,,,,,Non-academic researcher conducting or managing research in industry or government with >10 years of experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,66608593,English,5/10/16 22:09,5/10/16 22:17,British Columbia,fungroupgya,lang=en&_previewpage=1&TEST_DATA=&preview=1,,9,0:07:54,,,,,Non-academic researcher conducting or managing research in industry or government with <10 years of experience,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incomplete,66609031,English,5/10/16 22:17,5/10/16 22:25,British Columbia,fungroupgya,lang=en&TEST_DATA=&preview=1,,45,0:07:15,,,,,Non-academic researcher conducting or managing research in industry or government with <10 years of experience,0%,0%,,,,,20%,,,,1,,,,Strong partnership,Yes,Strong partnership,1,,,,,,,3-Jan,9-Jul,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,66609535,English,5/10/16 22:27,5/10/16 22:30,British Columbia,fungroupgya,lang=en&_previewpage=11&TEST_DATA=&preview=1,,32,0:03:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Will stay the same,Will stay the same,Will increase slightly,,,Social Science / Humanities,,,Female,
Incomplete,66612973,English,5/10/16 23:37,5/10/16 23:38,British Columbia,fungroupgya,lang=en&_previewpage=11&TEST_DATA=&preview=1,,3,0:00:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No need for applications for this research type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,66628446,English,5/11/16 6:58,5/11/16 9:43,Australia,fungroupgya,TEST_DATA=&_cb=A2fnbesT1m,,79,2:45:06,,,,,Senior academic researcher with >10 years of experience applying for research grants,,,0%,Yes,,0%,0%,,,1,,,,,Some partnership,Yes,No partnership,,1,,1,,,,6-Apr,6-Apr,,3-Jan,0,,,,,,,,Very important,Quite important,Somewhat important,Somewhat important,,,,,,,,,,,,,Increased,Decreased,Can't comment,,,,,,,Will decrease slightly,Will increase slightly,Will stay the same,,,Engineering,,,Female,
Complete,66628916,English,5/11/16 7:11,5/11/16 7:52,Israel,fungroupgya,TEST_DATA=&_cb=nqPsATH81B,,74,0:39:18,,,,,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,,0%,0%,Can't comment (new researcher),,,,,,,,,,,No partnership,Can't comment (new researcher),,,,,,,,,3-Jan,3-Jan,,3-Jan,3-Jan,,,No need for applications for this research type,,,,,Very important,Mandatory,Somewhat important,Quite important,,,,,,,,,,,,,Increased,Stayed the same,Decreased,,,,,,,Will decrease slightly,Will stay the same,Will increase slightly,,,Medicine and Life Science,,,Male,
Complete,66656334,English,5/11/16 13:12,5/11/16 13:16,Ontario,fungroupgya,TEST_DATA=&_cb=ciqUhL5QRe,,86,0:04:31,,,,,Senior academic researcher with >10 years of experience applying for research grants,,,0%,No,,,,,,,,,,,Strong partnership,Yes,Some partnership,1,,1,1,,,,9-Jul,9-Jul,,6-Apr,6-Apr,,,,,,,,Quite important,Very important,Not very important,Quite important,,,,,,,,,,,,,Increased,Stayed the same,Decreased,,,,,,,Will increase considerably,Will increase slightly,Will stay the same,,,Engineering,,,Male,Very useful survey!
Incomplete,66703071,English,5/11/16 19:34,5/11/16 19:34,British Columbia,fungroupgya,TEST_DATA=&_cb=Th6RVBPT9E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete,66703126,English,5/11/16 19:34,5/11/16 19:38,British Columbia,fungroupgya,TEST_DATA=&_cb=niAAVuxEkJ,,2083,0:03:27,,,,,Non-academic researcher conducting or managing research in industry or government with >10 years of experience,,,100%,Yes,,,70%,,,,1,,,,Some partnership,Yes,Strong partnership,,1,,,,,,3-Jan,6-Apr,9-Jul,9-Jul,6-Apr,3-Jan,20%,,0%,10%,,,Quite important,Quite important,Somewhat important,Not very important,,,,,,,,,,,,sedge,Decreased considerably,,Stayed the same,,1,1,,,,Will decrease slightly,Will decrease slightly,Will decrease slightly,,,Natural Science,1988,Barbados,Other,
Incomplete,67208482,English,5/16/16 18:04,5/16/16 18:04,British Columbia,fungroupgya,lang=en&TEST_DATA=&preview=1,,2,0:00:24,,,,,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
