"Location","nation","id","Country","Country_work","gender","what_participant_group","field_research","total_research","type","percent"
"British Columbia","Canada",5,"Canada","Barbados","Other","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Natural Science",70,"percent_fundemental_research_current",0
"British Columbia","Canada",6,"Canada","Antarctica","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",100,"percent_fundemental_research_current",100
"Netherlands","Russia",10,"Netherlands","Russia","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,"percent_fundemental_research_current",70
"Netherlands","Germany",11,"Netherlands","Germany","Female","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",100,"percent_fundemental_research_current",70
"Netherlands","United Kingdom",12,"Netherlands","United Kingdom","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"percent_fundemental_research_current",70
"Netherlands","Brazil",15,"Netherlands","Brazil","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"percent_fundemental_research_current",60
"","Australia",16,"","Australia","Female","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,"percent_fundemental_research_current",80
"South Africa","South Africa",17,"South Africa","South Africa","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",100,"percent_fundemental_research_current",30
"Denmark","Japan",18,"Denmark","Japan","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,"percent_fundemental_research_current",50
"Netherlands","United Kingdom",21,"Netherlands","United Kingdom","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",100,"percent_fundemental_research_current",0
"Netherlands","Netherlands",22,"Netherlands","Netherlands","Other","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",100,"percent_fundemental_research_current",40
"Netherlands","Uruguay",24,"Netherlands","Uruguay","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Other",100,"percent_fundemental_research_current",100
"Netherlands","Australia",26,"Netherlands","Australia","Male","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Interdisciplinary Science",100,"percent_fundemental_research_current",40
"United Kingdom","Taiwan",27,"United Kingdom","Taiwan","Male","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",100,"percent_fundemental_research_current",50
"California","United States",28,"United States","United States","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"percent_fundemental_research_current",40
"Netherlands","Netherlands",29,"Netherlands","Indonesia","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering",100,"percent_fundemental_research_current",60
"New Zealand","New Zealand",33,"New Zealand","New Zealand","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"percent_fundemental_research_current",70
"France","France",35,"France","France","Female","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",100,"percent_fundemental_research_current",50
"","Bangladesh",36,"","Bangladesh","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering",100,"percent_fundemental_research_current",0
"South Africa","South Africa",43,"South Africa","South Africa","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",100,"percent_fundemental_research_current",80
"Portugal","Portugal",44,"Portugal","Portugal","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"percent_fundemental_research_current",60
"Malaysia","Malaysia",45,"Malaysia","Malaysia","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",90,"percent_fundemental_research_current",20
"Netherlands","Netherlands",48,"Netherlands","Netherlands","Male","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Medicine and Life Science",110,"percent_fundemental_research_current",0
"Netherlands","Netherlands",49,"Netherlands","Netherlands","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"percent_fundemental_research_current",30
"Italy","Italy",52,"Italy","Italy","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,"percent_fundemental_research_current",90
"Italy","Italy",61,"Italy","Italy","Male","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)",100,"percent_fundemental_research_current",80
"Italy","Italy",62,"Italy","Italy","Male","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities",100,"percent_fundemental_research_current",80
"Italy","Italy",63,"Italy","Italy","Male","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Physical Science (eg. math, physics, chemistry, computer science)",100,"percent_fundemental_research_current",40
"Italy","Italy",69,"Italy","Italy","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"percent_fundemental_research_current",40
"Italy","Italy",74,"Italy","Italy","Male","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",100,"percent_fundemental_research_current",30
"Italy","Italy",75,"Italy","Italy","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,"percent_fundemental_research_current",20
"Italy","Italy",77,"Italy","Italy","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,"percent_fundemental_research_current",40
"Italy","Italy",78,"Italy","Italy","Female","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)",100,"percent_fundemental_research_current",30
"Netherlands","Netherlands",86,"Netherlands","Netherlands","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",100,"percent_fundemental_research_current",20
"France","France",88,"France","France","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"percent_fundemental_research_current",80
"Argentina","France",92,"Argentina","France","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",100,"percent_fundemental_research_current",40
"Italy","Italy",96,"Italy","Italy","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",100,"percent_fundemental_research_current",20
"Italy","Italy",97,"Italy","Italy","Male","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",100,"percent_fundemental_research_current",100
