"","Country","Number of Responses","OECD Category","Collapsed Category"
"2","Argentina",4,"Higher Middle Income","Developing"
"3","Australia",340,"High Income","Developed"
"4","Austria",3,"High Income","Developed"
"5","Bangladesh",4,"Low Income","Developing"
"6","Belgium",10,"High Income","Developed"
"7","Brazil",25,"Higher Middle Income","Developing"
"8","Cameroon",2,"Lower Middle Income","Developing"
"9","Canada",1331,"High Income","Developed"
"10","Chile",10,"Higher Middle Income","Developing"
"11","China",1,"Higher Middle Income","Developing"
"12","Colombia",5,"Higher Middle Income","Developing"
"13","Cyprus",2,"High Income","Developed"
"14","Denmark",1,"High Income","Developed"
"15","Dominican Republic",1,"Higher Middle Income","Developing"
"16","Egypt",2,"Lower Middle Income","Developing"
"17","Estonia",1,"High Income","Developed"
"18","Ethiopia",4,"Low Income","Developing"
"19","Finland",5,"High Income","Developed"
"20","France",26,"High Income","Developed"
"21","Germany",22,"High Income","Developed"
"22","Ghana",1,"Lower Middle Income","Developing"
"23","Greece",1,"High Income","Developed"
"24","Hungary",1,"High Income","Developed"
"25","Iceland",1,"High Income","Developed"
"26","India",45,"Lower Middle Income","Developing"
"27","Indonesia",2,"Lower Middle Income","Developing"
"28","Israel",189,"High Income","Developed"
"29","Italy",45,"High Income","Developed"
"30","Japan",6,"High Income","Developed"
"31","Kenya",4,"Low Income","Developing"
"32","Korea, South",2,"High Income","Developed"
"33","Lebanon",1,"Higher Middle Income","Developing"
"34","Lesotho",1,"Low Income","Developing"
"35","Malaysia",5,"Higher Middle Income","Developing"
"36","Malta",32,"High Income","Developed"
"37","Mexico",3,"Higher Middle Income","Developing"
"38","Montenegro",1,"Higher Middle Income","Developing"
"39","Morocco",2,"Lower Middle Income","Developing"
"40","Mozambique",1,"Low Income","Developing"
"41","Nepal",2,"Low Income","Developing"
"42","Netherlands",34,"High Income","Developed"
"43","New Zealand",116,"High Income","Developed"
"44","Nicaragua",1,"Lower Middle Income","Developing"
"45","Nigeria",5,"Lower Middle Income","Developing"
"46","Norway",2,"High Income","Developed"
"47","Philippines",1,"Lower Middle Income","Developing"
"48","Poland",19,"High Income","Developed"
"49","Portugal",5,"High Income","Developed"
"50","Romania",1,"High Income","Developed"
"51","Russia",2,"High Income","Developed"
"52","Serbia",5,"Higher Middle Income","Developing"
"53","Singapore",2,"High Income","Developed"
"54","South Africa",5,"Higher Middle Income","Developing"
"55","Spain",10,"High Income","Developed"
"56","Sudan",1,"Low Income","Developing"
"57","Sweden",4,"High Income","Developed"
"58","Switzerland",4,"High Income","Developed"
"59","Taiwan",2,"High Income","Developed"
"60","Thailand",2,"Higher Middle Income","Developing"
"61","Turkey",3,"Higher Middle Income","Developing"
"62","Uganda",2,"Low Income","Developing"
"63","United Kingdom",188,"High Income","Developed"
"64","United States",235,"High Income","Developed"
"65","Uruguay",118,"Higher Middle Income","Developing"
"66","Vietnam",3,"Lower Middle Income","Developing"
