"Location","Country_work","Country","nation"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Italy","Italy","Italy","Italy"
"France","France","France","France"
"Italy","Italy","Italy","Italy"
"Norway","Norway","Norway","Norway"
"Italy","Italy","Italy","Italy"
"Alberta","Canada","Canada","Canada"
"Netherlands","Netherlands","Netherlands","Netherlands"
"Italy","Italy","Italy","Italy"
"Spain","Spain","Spain","Spain"
"Switzerland","Italy","Switzerland","Italy"
"Finland","Spain","Finland","Spain"
"Spain","Canada","Spain","Canada"
"Italy","Italy","Italy","Italy"
"United Kingdom","Italy","United Kingdom","Italy"
"Massachusetts","United States","United States","United States"
"India","India","India","India"
"Netherlands","Netherlands","Netherlands","Netherlands"
"Italy","Italy","Italy","Italy"
"Japan","","Japan","Japan"
"Italy","Italy","Italy","Italy"
"France","France","France","France"
"France","France","France","France"
"","Nigeria","","Nigeria"
"Netherlands","Netherlands","Netherlands","Netherlands"
"Italy","Italy","Italy","Italy"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"California","United States","United States","United States"
"Italy","Italy","Italy","Italy"
"Egypt","Egypt","Egypt","Egypt"
"Italy","Italy","Italy","Italy"
"Israel","Israel","Israel","Israel"
"Italy","Italy","Italy","Italy"
"United Kingdom","Canada","United Kingdom","Canada"
"Netherlands","Netherlands","Netherlands","Netherlands"
"Malaysia","Malaysia","Malaysia","Malaysia"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Spain","Spain","Spain","Spain"
"Israel","Israel","Israel","Israel"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"","Australia","","Australia"
"Ontario","Canada","Canada","Canada"
"Australia","Australia","Australia","Australia"
"Illinois","Italy","United States","Italy"
"Alberta","Canada","Canada","Canada"
"Portugal","Portugal","Portugal","Portugal"
"Italy","Portugal","Italy","Portugal"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Israel","Israel","Israel","Israel"
"California","United States","United States","United States"
"Netherlands","Netherlands","Netherlands","Netherlands"
"Italy","Italy","Italy","Italy"
"Arizona","United States","United States","United States"
"Wisconsin","United States","United States","United States"
"Portugal","Spain","Portugal","Spain"
"Belgium","Belgium","Belgium","Belgium"
"California","United States","United States","United States"
"Netherlands","United States","Netherlands","United States"
"","United States","","United States"
"Montenegro","Montenegro","Montenegro","Montenegro"
"Nevada","United States","United States","United States"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Illinois","United States","United States","United States"
"New York","United States","United States","United States"
"Australia","Australia","Australia","Australia"
"China","China","China","China"
"Israel","Israel","Israel","Israel"
"","United States","","United States"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"Australia","Australia","Australia","Australia"
"","Australia","","Australia"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Singapore","Singapore","Singapore","Singapore"
"Italy","Germany","Italy","Germany"
"Italy","Italy","Italy","Italy"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"New Zealand","New Zealand","New Zealand","New Zealand"
"Israel","Israel","Israel","Israel"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Korea","Korea, South","Korea","Korea, South"
"Ontario","Canada","Canada","Canada"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"France","France","France","France"
"Poland","Poland","Poland","Poland"
"Poland","Poland","Poland","Poland"
"Poland","Poland","Poland","Poland"
"Oregon","United States","United States","United States"
"Australia","Australia","Australia","Australia"
"Israel","United States","Israel","United States"
"Netherlands","Netherlands","Netherlands","Netherlands"
"Australia","Australia","Australia","Australia"
"Poland","Poland","Poland","Poland"
"Poland","Poland","Poland","Poland"
"Serbia","","Serbia","Serbia"
"Poland","Poland","Poland","Poland"
"Poland","Poland","Poland","Poland"
"Poland","Poland","Poland","Poland"
"Poland","Poland","Poland","Poland"
"Belgium","Poland","Belgium","Poland"
"Poland","Poland","Poland","Poland"
"Serbia","Serbia","Serbia","Serbia"
"France","France","France","France"
"France","France","France","France"
"France","France","France","France"
"Poland","Poland","Poland","Poland"
"Belgium","Belgium","Belgium","Belgium"
"Mexico","France","Mexico","France"
"France","France","France","France"
"France","France","France","France"
"France","United States","France","United States"
"Israel","Israel","Israel","Israel"
"Japan","Japan","Japan","Japan"
"Kenya","Kenya","Kenya","Kenya"
"Israel","","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","","Israel","Israel"
"","Israel","","Israel"
"Israel","Israel","Israel","Israel"
"Pennsylvania","Israel","United States","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"France","France","France","France"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"United Kingdom","Australia","United Kingdom","Australia"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"California","United States","United States","United States"
"","Australia","","Australia"
"Australia","Australia","Australia","Australia"
"Maryland","United States","United States","United States"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Poland","Poland","Poland","Poland"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Switzerland","Poland","Switzerland","Poland"
"Serbia","Serbia","Serbia","Serbia"
"Israel","Israel","Israel","Israel"
"France","France","France","France"
"","Israel","","Israel"
"Israel","Israel","Israel","Israel"
"Netherlands","Netherlands","Netherlands","Netherlands"
"Germany","France","Germany","France"
"Serbia","Serbia","Serbia","Serbia"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"France","France","France","France"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Michigan","United States","United States","United States"
"France","France","France","France"
"Romania","Romania","Romania","Romania"
"British Columbia","Canada","Canada","Canada"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Switzerland","Israel","Switzerland","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"","Poland","","Poland"
"California","Israel","United States","Israel"
"France","Israel","France","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Germany","Israel","Germany","Israel"
"India","India","India","India"
"Greece","Italy","Greece","Italy"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Quebec","France","Canada","France"
"","United States","","United States"
"","United States","","United States"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"New Hampshire","Israel","United States","Israel"
"Israel","Israel","Israel","Israel"
"Maryland","Israel","United States","Israel"
"Israel","","Israel","Israel"
"Ontario","Israel","Canada","Israel"
"Switzerland","Israel","Switzerland","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Vermont","Israel","United States","Israel"
"Israel","","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Spain","Israel","Spain","Israel"
"Israel","Israel","Israel","Israel"
"","Israel","","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"United Kingdom","Israel","United Kingdom","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Poland","Poland","Poland","Poland"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Arizona","United States","United States","United States"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Michigan","United States","United States","United States"
"Ontario","Israel","Canada","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Netherlands","India","Netherlands","India"
"Israel","Israel","Israel","Israel"
"France","France","France","France"
"","Israel","","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Israel","Israel","Israel","Israel"
"United Kingdom","United Kingdom","United Kingdom","United Kingdom"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"Israel","Israel","Israel","Israel"
"","United States","","United States"
"Israel","Israel","Israel","Israel"
"","United States","","United States"
"Nebraska","United States","United States","United States"
"France","Brazil","France","Brazil"
"Brazil","Brazil","Brazil","Brazil"
"Brazil","Brazil","Brazil","Brazil"
"Netherlands","Brazil","Netherlands","Brazil"
"Brazil","","Brazil","Brazil"
"Brazil","Brazil","Brazil","Brazil"
"Brazil","Brazil","Brazil","Brazil"
"","Brazil","","Brazil"
"Brazil","Brazil","Brazil","Brazil"
"Brazil","Brazil","Brazil","Brazil"
"Brazil","Brazil","Brazil","Brazil"
"Brazil","Brazil","Brazil","Brazil"
"Brazil","Brazil","Brazil","Brazil"
"Brazil","Brazil","Brazil","Brazil"
"Brazil","Brazil","Brazil","Brazil"
"Brazil","Brazil","Brazil","Brazil"
"Germany","Germany","Germany","Germany"
"Brazil","Brazil","Brazil","Brazil"
"Spain","Spain","Spain","Spain"
"Brazil","Brazil","Brazil","Brazil"
"Brazil","Brazil","Brazil","Brazil"
"Italy","Italy","Italy","Italy"
"Uruguay","Uruguay","Uruguay","Uruguay"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"","Canada","","Canada"
"Quebec","Canada","Canada","Canada"
"","Canada","","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Newfoundland and Labrador","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Prince Edward Island","Canada","Canada","Canada"
"Saskatchewan","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Saskatchewan","Canada","Canada","Canada"
"New Brunswick","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Austria","Canada","Austria","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"","Canada","","Canada"
"Ontario","Canada","Canada","Canada"
"Norway","Canada","Norway","Canada"
"British Columbia","Canada","Canada","Canada"
"Saskatchewan","Canada","Canada","Canada"
"Wisconsin","Canada","United States","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Massachusetts","Canada","United States","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Newfoundland and Labrador","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"France","Canada","France","Canada"
"Ontario","Canada","Canada","Canada"
"","Canada","","Canada"
"Quebec","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Quebec","","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Newfoundland and Labrador","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"France","Canada","France","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"","Canada","","Canada"
"","Canada","","Canada"
"Alberta","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Quebec","Central African Republic","Canada","Central African Republic"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Switzerland","Canada","Switzerland","Canada"
"Alberta","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Poland","Canada","Poland","Canada"
"British Columbia","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Newfoundland and Labrador","Chad","Canada","Chad"
"Quebec","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"British Columbia","","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Newfoundland and Labrador","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Uruguay","Uruguay","Uruguay","Uruguay"
"","Canada","","Canada"
"Alberta","Canada","Canada","Canada"
"","","",""
"Ontario","Canada","Canada","Canada"
"Manitoba","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Manitoba","","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"New Brunswick","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"New Brunswick","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","India","Canada","India"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Vermont","Canada","United States","Canada"
"Ontario","","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Nevada","Canada","United States","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Nevada","Canada","United States","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","United States","Canada","United States"
"Quebec","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"France","Canada","France","Canada"
"Alberta","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","","Canada","Canada"
"Manitoba","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Manitoba","Canada","Canada","Canada"
"","Canada","","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"New Brunswick","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"New York","Canada","United States","Canada"
"Ontario","Canada","Canada","Canada"
"Japan","Canada","Japan","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"","Canada","","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"","Canada","","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Saskatchewan","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Prince Edward Island","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Manitoba","","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"France","Canada","France","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Quebec","","Canada","Canada"
"United Kingdom","Canada","United Kingdom","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Manitoba","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Newfoundland and Labrador","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"","Canada","","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"New York","Canada","United States","Canada"
"Greece","Canada","Greece","Canada"
"Quebec","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"Croatia","Canada","Croatia","Canada"
"","Canada","","Canada"
"Prince Edward Island","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"British Columbia","Canada","Canada","Canada"
"","Canada","","Canada"
"Alberta","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"","Canada","","Canada"
"British Columbia","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Ontario","","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"Korea","","Korea","Korea"
"Quebec","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Ontario","Canada","Canada","Canada"
"Switzerland","Canada","Switzerland","Canada"
"","Canada","","Canada"
"Nova Scotia","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
"","Canada","","Canada"
"Alberta","Canada","Canada","Canada"
"New Brunswick","Canada","Canada","Canada"
"Quebec","Canada","Canada","Canada"
"Alberta","Canada","Canada","Canada"
