YEAR,Australia,Canada,Israel,Netherlands,Poland,Spain,UK,US,OECD Total,G7 Average
2000,45.51,29.29,21.85,,66.55,38.64,30.23,26.24,28.48,29.23333333
2001,,29.18,20.18,38.69,64.78,39.87,28.86,27.79,28.91,28.86666667
2002,41.18,31.59,19.26,,61.92,39.1,28.88,29.81,29.84,29.765
2003,,31.44,20.27,40.34,62.72,40.07,31.75,30.75,30.33,30.355
2004,40.27,31.04,17.48,,61.66,41.01,32.92,31.56,30.49,30.47166667
2005,,31.79,14.46,38.85,57.71,42.99,32.73,30.79,29.65,32.82285714
2006,37.59,31.1,13.38,,57.45,42.49,31.87,29.86,28.82,31.71714286
2007,,31.97,12.18,38.03,58.61,43.66,30.92,29.17,28.46,31.08857143
2008,34.6,34.02,12.2,,59.79,45.57,30.66,30.39,29.29,31.43
2009,,34.56,12.84,40.89,60.44,47.1,32.55,32.66,31.22,32.58142857
2010,,35.18,12.45,,60.93,46.64,32.28,32.61,31.12,32.32
2011,,34.39,11.36,33.94,55.8,44.48,30.45,31.09,29.73,31.31714286
2012,,34.32,12.13,32.43,51.33,43.13,28.67,29.76,29.17,30.90285714
2013,,34.86,,33.34,47.24,41.63,26.99,27.75,28.28,27.336
