YEAR,Australia,Canada,Israel,Netherlands,Spain,Poland,UK,US,OECD Total,G7 Average
2000,0.38,,0.59,,0.15,0.21,,0.42,0.306875,0.335375
2001,,,0.63,,0.14,0.19,,0.45,0.307058824,0.343411765
2002,0.39,,0.64,,0.15,0.18,,0.47,0.317058824,0.351411765
2003,,,0.64,,0.2,0.18,,0.49,0.312222222,0.364444444
2004,0.39,,0.59,,0.19,0.18,,0.47,0.348125,0.355625
2005,,,0.59,,0.19,0.17,,0.47,0.325263158,0.349052632
2006,0.43,,0.61,,0.18,0.16,,0.45,0.334444444,0.346888889
2007,,,0.6,,0.2,0.16,0.18,0.47,0.292608696,0.317101449
2008,0.45,,0.57,,0.22,0.18,0.18,0.49,0.343,0.3305
2009,,,0.42,,0.26,0.2,0.19,0.51,0.335217391,0.319202899
2010,,,0.41,,0.26,0.21,0.18,0.5,0.338333333,0.316388889
2011,,,0.42,0.57,0.26,0.2,0.16,0.47,0.359166667,0.348452381
2012,,,0.46,0.54,0.26,0.23,0.18,0.45,0.401052632,0.360150376
2013,,,0.46,,0.26,0.23,,0.48,0.388,0.3636
