YEAR,Australia,Canada,Israel,Netherlands,Poland,Spain,UK,US,OECD Average,G7 Average
2003,0.92,1.16,3.19,1.01,0.148,0.57,1.11,1.84,1.51,1.452857143
2004,0.97,1.19,3.24,1.03,0.16,0.58,1.06,1.79,1.49,1.434714286
2005,1.07,1.15,3.4,1.01,0.18,0.6,1.06,1.83,1.53,1.453714286
2006,1.15,1.11,3.46,1.02,0.175,0.67,1.08,1.89,1.56,1.479622671
2007,,1.05,3.68,1.03,0.172,0.71,1.15,1.93,1.577913128,1.502772264
2008,1.37,1.01,3.64,0.83,0.186617,0.72,1.05,1.97,1.630045283,1.495429484
2009,1.29,1.02,3.47,0.79,0.189793296,0.7,1.05,1.96,1.613606355,1.490875524
2010,1.28,0.95,3.28,0.83,0.192958326,0.69,1.03,1.86,1.576334865,1.455671029
2011,1.23,0.93,3.4,1.08,0.226676159,0.69,1.08,1.9,1.586812616,1.494816002
2012,,0.88,3.5,1.1,0.330535295,0.67,1.03,1.87,1.578631776,1.490252426
