"Country","Country_work","gender","what_participant_group","field_research","Location","view_change_partnership"
"Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","British Columbia","Very positive"
"Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Netherlands","Slightly negative"
"Netherlands","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Netherlands","Slightly negative"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec","Slightly negative"
"Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Netherlands","Slightly positive"
"Austria","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Austria","Slightly positive"
"Netherlands","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Netherlands","Neutral"
"Italy","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Italy","Slightly negative"
"Cyprus","","","Senior academic researcher with >10 years of experience applying for research grants","","Cyprus","Neutral"
"Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Italy","Neutral"
"Italy","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Italy","Slightly negative"
"Germany","","","Senior academic researcher with >10 years of experience applying for research grants","","Germany","Slightly negative"
"Belgium","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Belgium","Very negative"
"Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Netherlands","Slightly positive"
"Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Italy","Slightly negative"
"Poland","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Poland","Slightly negative"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","Neutral"
"Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Italy","Neutral"
"France","","","Senior academic researcher with >10 years of experience applying for research grants","","France","Slightly positive"
"Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Netherlands","Slightly negative"
"Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Australia","Slightly negative"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Nova Scotia","Slightly positive"
"Germany","","","Senior academic researcher with >10 years of experience applying for research grants","","Germany","Very positive"
"Serbia","","","Senior academic researcher with >10 years of experience applying for research grants","","Serbia","Neutral"
"France","","","Senior academic researcher with >10 years of experience applying for research grants","","France","Very positive"
"Poland","","","Senior academic researcher with >10 years of experience applying for research grants","","Poland","Slightly positive"
"Chile","","","Senior academic researcher with >10 years of experience applying for research grants","","Chile","Neutral"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Slightly negative"
"Poland","","","Senior academic researcher with >10 years of experience applying for research grants","","Poland","Neutral"
