"Country","Country_work","gender","Location","what_participant_group","field_research","year","level"
"Canada","Brazil","Female","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","practical_applications_important_11_15","Very important"
"Canada","Canada","Female","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","practical_applications_important_11_15","Mandatory"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Very important"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Very important"
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Somewhat important"
"Sweden","","","Sweden","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","practical_applications_important_11_15","Mandatory"
"Switzerland","","","Switzerland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_11_15","Can't comment"
"Netherlands","","","Netherlands","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","practical_applications_important_11_15","Very important"
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Quite important"
"Cyprus","","","Cyprus","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Mandatory"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Quite important"
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_11_15","Very important"
"Germany","","","Germany","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Somewhat important"
"Belgium","","","Belgium","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_11_15","Not at all important"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Very important"
"Romania","","","Romania","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_11_15","Quite important"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Very important"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Very important"
"Poland","","","Poland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_11_15","Mandatory"
"France","","","France","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Not at all important"
"Italy","","","Italy","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","practical_applications_important_11_15","Quite important"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Not at all important"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Very important"
"USA","","","New York","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Somewhat important"
"USA","","","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Very important"
"Serbia","","","Serbia","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Somewhat important"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Mandatory"
"Canada","","","Alberta","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","practical_applications_important_11_15","Quite important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Very important"
"Poland","","","Poland","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Somewhat important"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Somewhat important"
"Poland","","","Poland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Quite important"
"USA","","","Florida","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Very important"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Very important"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Quite important"
"Spain","","","Spain","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Somewhat important"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Somewhat important"
"Canada","Canada","Male","New Brunswick","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","practical_applications_important_11_15","Can't comment"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Can't comment"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Can't comment"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Not at all important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Very important"
"China","","","China","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","practical_applications_important_11_15","Quite important"
"Russian Federation","","","Russian Federation","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Mandatory"
"Canada","","","British Columbia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_11_15","Somewhat important"
"USA","","","Florida","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","practical_applications_important_11_15","Somewhat important"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Quite important"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","practical_applications_important_11_15","Somewhat important"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","practical_applications_important_11_15","Very important"
