"Location","Country","Country_work","gender","what_participant_group","field_research","total_research","type","percent"
"British Columbia","Canada","Bosnia and Herzegovina","Female","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Medicine and Life Science",180,"percent_fundemental_research_current",55.5555555555556
"British Columbia","Canada","Brazil","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",110,"percent_fundemental_research_current",54.5454545454545
"British Columbia","Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",110,"percent_fundemental_research_current",54.5454545454545
"British Columbia","Canada","","","","",120,"percent_fundemental_research_current",16.6666666666667
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",20
"India","India","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",20
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",60
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",80
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",80
"Austria","Austria","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",120,"percent_fundemental_research_current",75
"Switzerland","Switzerland","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_fundemental_research_current",30
"Netherlands","Netherlands","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",100,"percent_fundemental_research_current",10
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",80
"Italy","Italy","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",100,"percent_fundemental_research_current",70
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",60
"Cyprus","Cyprus","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",90
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","",180,"percent_fundemental_research_current",27.7777777777778
"Italy","Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_fundemental_research_current",90
"Italy","Italy","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",100,"percent_fundemental_research_current",20
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",10
"Germany","Germany","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",50
"Belgium","Belgium","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_fundemental_research_current",100
"Romania","Romania","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_fundemental_research_current",20
"Italy","Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_fundemental_research_current",50
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","",50,"percent_fundemental_research_current",30
"Poland","Poland","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_fundemental_research_current",80
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",30
"Massachusetts","USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_fundemental_research_current",30
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",30
"Australia","Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",40
"Australia","Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",50
"New York","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",90
"Nova Scotia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",40
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",50
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",70
"Poland","Poland","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",10
"Chile","Chile","","","Senior academic researcher with >10 years of experience applying for research grants","",160,"percent_fundemental_research_current",31.25
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",100
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",30
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",60
"Poland","Poland","","","Senior academic researcher with >10 years of experience applying for research grants","",200,"percent_fundemental_research_current",50
"Poland","Poland","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",120,"percent_fundemental_research_current",41.6666666666667
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",10
"Spain","Spain","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",100
"Spain","Spain","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",80
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",20
"Brazil","Brazil","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",70
"Brazil","Brazil","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",70
"Brazil","Brazil","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",110,"percent_fundemental_research_current",90.9090909090909
"Brazil","Brazil","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,"percent_fundemental_research_current",90
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",70
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",60
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",70
"Washington","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",30
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",40
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",70
"Ontario","Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",140,"percent_fundemental_research_current",21.4285714285714
"British Columbia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",30
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",70
"Ontario","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",100,"percent_fundemental_research_current",30
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",50
"Quebec","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",100,"percent_fundemental_research_current",60
