"Country","Country_work","gender","what_participant_group","field_research","Location","reason_partnership_change_interest","reason_partnership_change_career","reason_partnership_change_socially","reason_partnership_change_funding","reason_partnership_change_other"
"","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","",NA,NA,NA,NA,NA
"Canada","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","British Columbia",NA,NA,NA,NA,NA
"Canada","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","British Columbia",NA,NA,NA,NA,NA
"Canada","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","British Columbia",1,NA,NA,NA,NA
"Canada","","","","","British Columbia",NA,NA,NA,NA,NA
"Canada","","","","","British Columbia",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","British Columbia",NA,NA,NA,NA,NA
"Canada","Bosnia and Herzegovina","Female","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Medicine and Life Science","British Columbia",NA,NA,NA,1,NA
"Canada","Brazil","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","British Columbia",NA,NA,NA,1,NA
"Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","British Columbia",NA,NA,NA,1,NA
"Canada","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","British Columbia",NA,NA,NA,NA,NA
"Canada","","","","","British Columbia",NA,NA,NA,NA,NA
"Canada","","","","","British Columbia",NA,NA,NA,NA,NA
"Canada","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","Medicine and Life Science","British Columbia",NA,NA,NA,NA,NA
"Canada","","","","","British Columbia",NA,NA,NA,NA,NA
"Canada","","","","","British Columbia",NA,NA,NA,NA,NA
"Canada","","","","","British Columbia",NA,NA,NA,NA,NA
"Netherlands","","","","","Netherlands",NA,NA,NA,NA,NA
"Netherlands","","","","","Netherlands",NA,NA,NA,NA,NA
"Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Netherlands",1,NA,NA,NA,NA
"Netherlands","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Netherlands",NA,NA,NA,NA,NA
"Canada","","","","","British Columbia",NA,NA,NA,NA,NA
"Netherlands","","","","","Netherlands",NA,NA,NA,NA,NA
"Netherlands","","","","","Netherlands",NA,NA,NA,NA,NA
"Netherlands","","","","","Netherlands",NA,NA,NA,NA,NA
"Netherlands","","","","","Netherlands",NA,NA,NA,NA,NA
"Netherlands","","","","","Netherlands",NA,NA,NA,NA,NA
"Netherlands","","","","","Netherlands",NA,NA,NA,NA,NA
"Netherlands","","","","","Netherlands",NA,NA,NA,NA,NA
"Netherlands","","","","","Netherlands",NA,NA,NA,NA,NA
"Netherlands","","","","","Netherlands",NA,NA,NA,NA,NA
"Oman","","","","","Oman",NA,NA,NA,NA,NA
"Tunisia","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Tunisia",NA,NA,NA,NA,NA
"Netherlands","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Netherlands",NA,NA,NA,NA,NA
"Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Netherlands",NA,NA,NA,NA,NA
"Germany","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Germany",NA,NA,NA,NA,NA
"","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Netherlands","","","","","Netherlands",NA,NA,NA,NA,NA
"Netherlands","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Netherlands",1,NA,NA,1,NA
"India","","","Senior academic researcher with >10 years of experience applying for research grants","","India",NA,NA,NA,NA,NA
"Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Netherlands",NA,NA,NA,NA,NA
"Netherlands","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Netherlands",NA,NA,NA,NA,NA
"Jordan","","","","","Jordan",NA,NA,NA,NA,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec",NA,NA,NA,1,NA
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec",NA,NA,NA,NA,NA
"","","","","","",NA,NA,NA,NA,NA
"Netherlands","","","","","Netherlands",NA,NA,NA,NA,NA
"","","","","","",NA,NA,NA,NA,NA
"Sweden","","","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Sweden",NA,NA,NA,NA,NA
"Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Netherlands",NA,NA,NA,1,NA
"Austria","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Austria",NA,NA,1,1,NA
"Switzerland","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Switzerland",NA,NA,NA,NA,NA
"Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Italy",NA,NA,NA,NA,NA
"Netherlands","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Netherlands",NA,1,NA,NA,NA
"Italy","","","","","Italy",NA,NA,NA,NA,NA
"Italy","","","","","Italy",NA,NA,NA,NA,NA
"Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Netherlands",NA,NA,NA,NA,NA
"France","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","France",NA,NA,NA,NA,NA
"Belgium","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Belgium",NA,NA,NA,NA,NA
"Italy","","","","","Italy",NA,NA,NA,NA,NA
"Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Netherlands",NA,NA,NA,NA,NA
"Cyprus","","","","","Cyprus",NA,NA,NA,NA,NA
"Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Italy",NA,NA,NA,NA,NA
"Belgium","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Belgium",NA,NA,NA,NA,NA
"Germany","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Germany",NA,NA,NA,NA,NA
"Italy","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Italy",NA,NA,NA,NA,NA
"Italy","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Italy",NA,1,NA,NA,NA
"Austria","","","","","Austria",NA,NA,NA,NA,NA
"Italy","","","","","Italy",NA,NA,NA,NA,NA
"Italy","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Italy",NA,NA,NA,NA,NA
"Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Italy",NA,NA,NA,NA,NA
"","","","Senior academic researcher with >10 years of experience applying for research grants","","",NA,NA,NA,NA,NA
"France","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","France",NA,NA,NA,NA,NA
"Italy","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Italy",NA,NA,NA,NA,NA
"Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Italy",NA,NA,NA,NA,NA
"USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Washington",NA,NA,NA,NA,NA
"Italy","","","","","Italy",NA,NA,NA,NA,NA
"Cyprus","","","Senior academic researcher with >10 years of experience applying for research grants","","Cyprus",NA,NA,NA,1,NA
