"Country","Country_work","gender","Location","what_participant_group","field_research","practical_applications_important_11_15","practical_applications_important_6_10"
"","","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","",""
"Canada","","","British Columbia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","",""
"Canada","","","British Columbia","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","",""
"Canada","","","British Columbia","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","",""
"Canada","","","British Columbia","","","",""
"Canada","","","British Columbia","","","",""
"Canada","","","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","Bosnia and Herzegovina","Female","British Columbia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Medicine and Life Science","",""
"Canada","Brazil","Female","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Very important","Somewhat important"
"Canada","Canada","Female","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Mandatory","Somewhat important"
"Canada","","","British Columbia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","",""
"Canada","","","British Columbia","","","",""
"Canada","","","British Columbia","","","",""
"Canada","","","British Columbia","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","Medicine and Life Science","",""
"Canada","","","British Columbia","","","",""
"Canada","","","British Columbia","","","",""
"Canada","","","British Columbia","","","",""
"Netherlands","","","Netherlands","","","",""
"Netherlands","","","Netherlands","","","",""
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","Very important","Very important"
"Netherlands","","","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Canada","","","British Columbia","","","",""
"Netherlands","","","Netherlands","","","",""
"Netherlands","","","Netherlands","","","",""
"Netherlands","","","Netherlands","","","",""
"Netherlands","","","Netherlands","","","",""
"Netherlands","","","Netherlands","","","",""
"Netherlands","","","Netherlands","","","",""
"Netherlands","","","Netherlands","","","",""
"Netherlands","","","Netherlands","","","",""
"Netherlands","","","Netherlands","","","",""
"Oman","","","Oman","","","",""
"Tunisia","","","Tunisia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Netherlands","","","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","Very important","Quite important"
"Germany","","","Germany","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Netherlands","","","Netherlands","","","",""
"Netherlands","","","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","Somewhat important","Quite important"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Netherlands","","","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Jordan","","","Jordan","","","",""
"Canada","","","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Canada","","","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"","","","","","","",""
"Netherlands","","","Netherlands","","","",""
"","","","","","","",""
"Sweden","","","Sweden","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Mandatory","Very important"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Austria","","","Austria","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Switzerland","","","Switzerland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Can't comment","Can't comment"
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Netherlands","","","Netherlands","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Very important","Somewhat important"
"Italy","","","Italy","","","",""
"Italy","","","Italy","","","",""
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","",""
"France","","","France","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Belgium","","","Belgium","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Italy","","","Italy","","","",""
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Cyprus","","","Cyprus","","","",""
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Belgium","","","Belgium","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Germany","","","Germany","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Italy","","","Italy","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","",""
"Austria","","","Austria","","","",""
"Italy","","","Italy","","","",""
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quite important","Very important"
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","",""
"France","","","France","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","",""
"USA","","","Washington","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Italy","","","Italy","","","",""
"Cyprus","","","Cyprus","Senior academic researcher with >10 years of experience applying for research grants","","Mandatory","Very important"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","Quite important","Quite important"
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","",""
"United Kingdom","","","United Kingdom","","","",""
"Greece","","","Greece","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Netherlands","","","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Italy","","","Italy","","","",""
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Switzerland","","","Switzerland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Germany","","","Germany","","","",""
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Very important","Can't comment"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Italy","","","Italy","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","",""
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"","","","","","","",""
"Germany","","","Germany","Senior academic researcher with >10 years of experience applying for research grants","","Somewhat important","Quite important"
"Belgium","","","Belgium","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Not at all important","Can't comment"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Very important","Very important"
"France","","","France","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"Romania","","","Romania","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Quite important","Not at all important"
"Greece","","","Greece","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","",""
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",""
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",""
"Belgium","","","Belgium","","","",""
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","Very important","Not at all important"
"Switzerland","","","Switzerland","","","",""
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","Very important","Somewhat important"
"Netherlands","","","Netherlands","","","",""
"Poland","","","Poland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Mandatory","Somewhat important"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","",""
"France","","","France","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Not at all important","Not at all important"
"Italy","","","Italy","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Quite important","Can't comment"
