"Location","Country","Country_work","gender","what_participant_group","field_research","view_change_of_type"
"","","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",""
"British Columbia","Canada","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",""
"British Columbia","Canada","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","",""
"British Columbia","Canada","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","",""
"British Columbia","Canada","","","","",""
"British Columbia","Canada","","","","",""
"British Columbia","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"British Columbia","Canada","Bosnia and Herzegovina","Female","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Medicine and Life Science",""
"British Columbia","Canada","Brazil","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",""
"British Columbia","Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Slightly positive"
"British Columbia","Canada","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",""
"British Columbia","Canada","","","","",""
"British Columbia","Canada","","","","",""
"British Columbia","Canada","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","Medicine and Life Science",""
"British Columbia","Canada","","","","",""
"British Columbia","Canada","","","","",""
"British Columbia","Canada","","","","",""
"Netherlands","Netherlands","","","","",""
"Netherlands","Netherlands","","","","",""
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Slightly positive"
"Netherlands","Netherlands","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"British Columbia","Canada","","","","",""
"Netherlands","Netherlands","","","","",""
"Netherlands","Netherlands","","","","",""
"Netherlands","Netherlands","","","","",""
"Netherlands","Netherlands","","","","",""
"Netherlands","Netherlands","","","","",""
"Netherlands","Netherlands","","","","",""
"Netherlands","Netherlands","","","","",""
"Netherlands","Netherlands","","","","",""
"Netherlands","Netherlands","","","","",""
"Oman","Oman","","","","",""
"Tunisia","Tunisia","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Netherlands","Netherlands","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Germany","Germany","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Netherlands","Netherlands","","","","",""
"Netherlands","Netherlands","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"India","India","","","Senior academic researcher with >10 years of experience applying for research grants","","Slightly positive"
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Netherlands","Netherlands","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Jordan","Jordan","","","","",""
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Slightly negative"
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Slightly positive"
"","","","","","",""
"Netherlands","Netherlands","","","","",""
"","","","","","",""
"Sweden","Sweden","","","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",""
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Very positive"
"Austria","Austria","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Slightly positive"
"Switzerland","Switzerland","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Slightly positive"
"Italy","Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Netherlands","Netherlands","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Slightly positive"
"Italy","Italy","","","","",""
"Italy","Italy","","","","",""
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Slightly positive"
"France","France","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Belgium","Belgium","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Italy","Italy","","","","",""
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Cyprus","Cyprus","","","","",""
"Italy","Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Belgium","Belgium","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Germany","Germany","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Italy","Italy","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Italy","Italy","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Slightly negative"
"Austria","Austria","","","","",""
"Italy","Italy","","","","",""
"Italy","Italy","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Italy","Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","Very negative"
"France","France","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Italy","Italy","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Washington","USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Italy","Italy","","","","",""
"Cyprus","Cyprus","","","Senior academic researcher with >10 years of experience applying for research grants","","Slightly negative"
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Slightly positive"
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"United Kingdom","United Kingdom","","","","",""
"Greece","Greece","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Netherlands","Netherlands","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Italy","Italy","","","","",""
"United Kingdom","United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",""
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Switzerland","Switzerland","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",""
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","",""
"Germany","Germany","","","","",""
