"Country","Country_work","gender","Location","what_participant_group","field_research","year","level"
"Canada","Brazil","Female","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","include_nonacademia_partners_success_11_15","Quite important"
"Canada","Canada","Female","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","include_nonacademia_partners_success_11_15","Quite important"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Quite important"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Quite important"
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Not at all important"
"Sweden","","","Sweden","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","include_nonacademia_partners_success_11_15","Quite important"
"Switzerland","","","Switzerland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_11_15","Can't comment"
"Netherlands","","","Netherlands","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","include_nonacademia_partners_success_11_15","Somewhat important"
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Somewhat important"
"Cyprus","","","Cyprus","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Mandatory"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Quite important"
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_11_15","Quite important"
"Germany","","","Germany","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Somewhat important"
"Belgium","","","Belgium","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_11_15","Somewhat important"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Not very important"
"Romania","","","Romania","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_11_15","Can't comment"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Not very important"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Mandatory"
"Poland","","","Poland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_11_15","Quite important"
"France","","","France","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Not at all important"
"Italy","","","Italy","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","include_nonacademia_partners_success_11_15","Quite important"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Not at all important"
"Australia","","","Australia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Quite important"
"USA","","","New York","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Somewhat important"
"USA","","","California","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Can't comment"
"Serbia","","","Serbia","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Somewhat important"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Not very important"
"Canada","","","Alberta","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","include_nonacademia_partners_success_11_15","Quite important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Somewhat important"
"Poland","","","Poland","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Not very important"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Somewhat important"
"Poland","","","Poland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Quite important"
"USA","","","Florida","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Not very important"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Quite important"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Somewhat important"
"Spain","","","Spain","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Not at all important"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Not at all important"
"Canada","Canada","Male","New Brunswick","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","include_nonacademia_partners_success_11_15","Not very important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Can't comment"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Can't comment"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Not at all important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Mandatory"
"China","","","China","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","include_nonacademia_partners_success_11_15","Quite important"
"Russian Federation","","","Russian Federation","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Mandatory"
"Canada","","","British Columbia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_11_15","Somewhat important"
"USA","","","Florida","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_11_15","Somewhat important"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Not very important"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Not at all important"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Quite important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Quite important"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Somewhat important"
"Canada","","","New Brunswick","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_11_15","Quite important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Mandatory"
"Canada","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","include_nonacademia_partners_success_11_15","Mandatory"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Quite important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Quite important"
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Not very important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Somewhat important"
"Canada","","","Quebec","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Quite important"
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Not at all important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Not at all important"
"Canada","","","New Brunswick","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Can't comment"
"Canada","Canada","Male","Quebec","Senior academic researcher with >10 years of experience applying for research grants","Engineering","include_nonacademia_partners_success_11_15","Mandatory"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Not very important"
"Romania","","","Romania","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Can't comment"
"United Kingdom","","","United Kingdom","","","include_nonacademia_partners_success_11_15","Quite important"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Quite important"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Not very important"
"Israel","","","Israel","","","include_nonacademia_partners_success_11_15","Not at all important"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Can't comment"
"Canada","","","Alberta","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Quite important"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Can't comment"
"Canada","Canada","Male","New Brunswick","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","include_nonacademia_partners_success_11_15","Can't comment"
"Canada","","","Alberta","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Can't comment"
"Canada","","","Newfoundland and Labrador","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Quite important"
"Canada","","","Ontario","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Quite important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Not very important"
"Canada","","","Alberta","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_11_15","Can't comment"
"Israel","","Male","Israel","","Interdisciplinary Science","include_nonacademia_partners_success_11_15","Not very important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Quite important"
"Canada","","","Saskatchewan","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Mandatory"
"Germany","","","Germany","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Somewhat important"
"Israel","","","Israel","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Somewhat important"
"Canada","","","British Columbia","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Not very important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Somewhat important"
"Switzerland","","","Switzerland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Not very important"
"USA","","","Minnesota","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Not at all important"
"Canada","","","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Can't comment"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Not very important"
"Canada","","","Ontario","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Quite important"
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Not at all important"
"USA","","","Utah","Senior academic researcher with >10 years of experience applying for research grants","","include_nonacademia_partners_success_11_15","Quite important"
"Canada","","","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","include_nonacademia_partners_success_11_15","Can't comment"
"Canada","","","British Columbia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","include_nonacademia_partners_success_11_15","Quite important"
