"Country","Country_work","gender","what_participant_group","field_research","Location","partnership_change_10yrs"
"Canada","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","British Columbia","Yes"
"Canada","Bosnia and Herzegovina","Female","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Medicine and Life Science","British Columbia","Yes"
"Canada","Brazil","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","British Columbia","Yes"
"Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","British Columbia","No"
"Canada","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","Medicine and Life Science","British Columbia","No"
"Canada","","","","","British Columbia","Yes"
"Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Netherlands","Yes"
"Netherlands","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Netherlands","Can't comment (new researcher)"
"Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Netherlands","Can't comment (new researcher)"
"Germany","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Germany","Can't comment (new researcher)"
"Netherlands","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Netherlands","Yes"
"India","","","Senior academic researcher with >10 years of experience applying for research grants","","India","No"
"Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Netherlands","No"
"Netherlands","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Netherlands","Can't comment (new researcher)"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec","Yes"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec","No"
"Sweden","","","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Sweden","No"
"Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Netherlands","Yes"
"Austria","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Austria","Yes"
"Switzerland","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Switzerland","No"
"Netherlands","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Netherlands","Yes"
"Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Netherlands","No"
"France","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","France","Can't comment (new researcher)"
"Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Netherlands","No"
"Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Italy","Can't comment (new researcher)"
"Italy","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Italy","Can't comment (new researcher)"
"Italy","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Italy","Yes"
"Italy","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Italy","No"
"","","","Senior academic researcher with >10 years of experience applying for research grants","","","No"
"France","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","France","Can't comment (new researcher)"
"Italy","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Italy","Can't comment (new researcher)"
"Cyprus","","","Senior academic researcher with >10 years of experience applying for research grants","","Cyprus","Yes"
"Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Italy","Yes"
"Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Italy","No"
"Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Italy","Can't comment (new researcher)"
"Italy","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Italy","Yes"
"Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Italy","No"
"Germany","","","Senior academic researcher with >10 years of experience applying for research grants","","Germany","Yes"
"Belgium","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Belgium","Yes"
"Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Israel","No"
"France","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","France","Can't comment (new researcher)"
"Romania","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Romania","No"
"Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Italy","No"
"Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Netherlands","Yes"
"Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Italy","No"
"Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Italy","Yes"
"Poland","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Poland","Yes"
"France","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","France","No"
"Italy","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Italy","Can't comment (new researcher)"
"Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Italy","Can't comment (new researcher)"
"Italy","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Italy","Can't comment (new researcher)"
"Greece","","","Senior academic researcher with >10 years of experience applying for research grants","","Greece","No"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","Yes"
"Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Italy","Yes"
"USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Massachusetts","No"
"France","","","Senior academic researcher with >10 years of experience applying for research grants","","France","Yes"
"Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Netherlands","Yes"
"Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Australia","No"
"Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Australia","Yes"
"United Kingdom","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","United Kingdom","Can't comment (new researcher)"
"Mississippi","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Mississippi","Can't comment (new researcher)"
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","New York","No"
"France","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","France","Can't comment (new researcher)"
"New Zealand","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","New Zealand","No"
"USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","California","No"
"","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","","Can't comment (new researcher)"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Nova Scotia","Yes"
"Germany","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Germany","Can't comment (new researcher)"
"Germany","","","Senior academic researcher with >10 years of experience applying for research grants","","Germany","Yes"
"Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Australia","No"
"France","","","Senior academic researcher with >10 years of experience applying for research grants","","France","No"
"Serbia","","","Senior academic researcher with >10 years of experience applying for research grants","","Serbia","Yes"
"France","","","Senior academic researcher with >10 years of experience applying for research grants","","France","No"
"France","","","Senior academic researcher with >10 years of experience applying for research grants","","France","Yes"
"France","","","Senior academic researcher with >10 years of experience applying for research grants","","France","No"
"Israel","","","","","Israel","Yes"
"Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Israel","Can't comment (new researcher)"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","Yes"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","No"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","No"
"Canada","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","Alberta","No"
"France","","","Senior academic researcher with >10 years of experience applying for research grants","","France","No"
"Poland","","","Senior academic researcher with >10 years of experience applying for research grants","","Poland","Yes"
"Chile","","","Senior academic researcher with >10 years of experience applying for research grants","","Chile","Yes"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","No"
"Serbia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Serbia","No"
"Serbia","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Serbia","Can't comment (new researcher)"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","No"
"Serbia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Serbia","Yes"
"Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Australia","No"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Yes"
"Poland","","","Senior academic researcher with >10 years of experience applying for research grants","","Poland","Yes"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","No"
"Poland","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Poland","Yes"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","No"
"Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Israel","Yes"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","No"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","No"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","No"
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","California","No"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","Yes"
"USA","","","Senior academic researcher with >10 years of experience applying for research grants","","Florida","No"
"Israel","","","","","Israel","Yes"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","No"
"Spain","","","Senior academic researcher with >10 years of experience applying for research grants","","Spain","No"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","No"
"","","","Senior academic researcher with >10 years of experience applying for research grants","","","No"
"Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Israel","No"
"Spain","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Spain","No"
"Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Israel","Can't comment (new researcher)"
"Israel","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Israel","Can't comment (new researcher)"
"Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Israel","No"
"Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Israel","No"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","No"
"USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Nebraska","Yes"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","Yes"
"Brazil","","","Senior academic researcher with >10 years of experience applying for research grants","","Brazil","Yes"
"Brazil","","","Senior academic researcher with >10 years of experience applying for research grants","","Brazil","Yes"
"","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","","Can't comment (new researcher)"
"Brazil","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Brazil","Yes"
"Brazil","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Brazil","Yes"
"Uruguay","","","Senior academic researcher with >10 years of experience applying for research grants","","Uruguay","No"
"Belgium","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Belgium","Can't comment (new researcher)"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec","No"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario","Can't comment (new researcher)"
"Canada","Canada","Male","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","New Brunswick","Can't comment (new researcher)"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Yes"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","No"
