Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Australia,13.219,,10.982,,10.389,,10.001,,8.942,,,,,
Canada,6.895,5.991,6.451,5.924,5.515,6.116,5.815,5.769,5.642,6.104,6.057,5.794,6.062,
Israel,,,,,,,,,,,,0.864,0.79,
Netherlands,14.106,14.91,15.476,17.514,16.016,14.686,13.417,13.665,13.799,14.524,12.958,11.024,11.714,11.217
Poland,20.118,18.945,25.893,22.584,21.009,19.585,20.878,20.869,20.899,21.591,21.008,21.555,20.272,18.988
Spain,16.575,16.665,15.153,16.741,16.982,18.634,17.326,17.461,17.237,18.06,18.104,17.578,17.235,16.776
UK,8.797,5.489,4.664,4.359,4.02,3.745,3.518,3.366,3.451,3.397,3.359,3.012,3.017,2.981
US,4.833,4.755,4.566,,,,,,,,,,,
OECD Average,8.821,8.356,8.253,7.982,8,7.913,7.877,7.854,7.721,7.864,8.001,7.875,7.817,
G7 Average,10.97057143,9.776142857,9.687571429,10.40783333,10.39266667,9.972166667,10.00016667,9.906833333,9.536666667,9.772166667,9.664833333,9.6915,9.8045,10.286
