Year,All sectors,Federal government
1998,1393.746,105.3977075
1999,1596.260498,115.967643
2000,1745.432965,113.5132379
2001,1793.639866,120.0061205
2002,1972.270214,148.3958939
2003,2155.505747,147.8906173
2004,2334.880918,143.0508558
2005,2431.656778,146.7991434
2006,2441.948382,180.2858247
2007,2580.542269,194.5018713
2008,2746.376743,234.6095112
2009,2702.385551,239.3256576
2010,2861.257664,304.6205878
2011,2801.048815,241.2336136
2012,3318.171581,247.8559538
2013,3372.53519,267.416636
2014,3335.430666,270.1406523
2015,3322,251
